name,director,producer,Importer,Distributor,date,year,month,country,screen,audience,genre,limit,actor1,actor2,actor3,star
빅샤크:매직체인지,헤질리,,(주)히스토리필름,와이드릴리즈(주),2018-06-27,2018,6,중국,414,137290,애니메이션,전체관람가,김경희,이슬,이제인,6.99
폭풍전야,조창호,오퍼스픽쳐스,,(주)성원아이컴,2010-04-01,2010,4,한국,134,52597,드라마,청소년관람불가,김남길,황우슬혜,,6.72
판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,2016,12,한국,1166,4571142,드라마,12세이상관람가,김남길,김주현,정진영,8.33
어느날,이윤기,(주)인벤트스톤,,"오퍼스픽쳐스,CGV아트하우스",2017-04-05,2017,4,한국,532,2320160,멜로/로맨스,15세이상관람가,김남길,천우희,,7.69
해적:바다로간산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,2014,8,한국,838,8646758,어드벤처,12세이상관람가,김남길,손예진,,8.27
마녀,박훈정,"(주)영화사금월,(주)페퍼민트앤컴퍼니",,워너브러더스코리아(주),2018-06-27,2018,6,한국,1117,3186471,미스터리,15세이상관람가,김다미,조민수,박희순,8.19
쓰리썸머나잇,김상진,"더램프(주),㈜감독의집",,"(주)리틀빅픽쳐스,(주)인벤트스톤",2015-07-15,2015,7,한국,297,77621,코미디,청소년관람불가,김동욱,임원희,손호준,6.76
마이리틀히어로,김성훈,굿초이스컷픽쳐스(주),,씨제이이앤엠(주),2013-01-09,2013,1,한국,341,183650,드라마,전체관람가,김래원,이성민,조안,8.41
희생부활자,곽경택,"(주)영화사신세계,(주)바른손이앤에이",,(주)쇼박스,2017-10-12,2017,10,한국,781,323628,미스터리,15세이상관람가,김래원,김해숙,,6.14
연가시,박정우,(주)오죤필름,,씨제이이앤엠(주),2012-07-05,2012,7,한국,759,4513026,공포(호러),15세이상관람가,김명민,문정희,김동완,7.22
파괴된사나이,우민호,"아이러브시네마,(주)아이필름홀딩스",,(주)시너지하우스(시너지),2010-07-01,2010,7,한국,190,1030285,드라마,청소년관람불가,김명민,엄기준,박주미,7.71
페이스메이커,김달중,"(주)드림캡쳐,(주)에이트볼픽쳐스,(주)필통픽쳐스",,"(주)시너지하우스(시너지),롯데쇼핑㈜롯데엔터테인먼트",2012-01-18,2012,1,한국,412,467697,드라마,12세이상관람가,김명민,안성기,고아라,8.85
간첩,우민호,(주)영화사울림,,롯데쇼핑㈜롯데엔터테인먼트,2012-09-20,2012,9,한국,576,1310895,드라마,15세이상관람가,김명민,염정아,유해진,7.18
특별수사:사형수의편지,권종관,(주)콘텐츠케이,,(주)넥스트엔터테인먼트월드(NEW),2016-06-16,2016,6,한국,691,1225142,범죄,15세이상관람가,김명민,김상호,성동일,8.3
조선명탐정:사라진놉의딸,김석윤,청년필름(주),,(주)쇼박스,2015-02-11,2015,2,한국,811,3872015,사극,12세이상관람가,김명민,오달수,이연희,7.67
조선명탐정:흡혈괴마의비밀,김석윤,청년필름(주),,(주)쇼박스,2018-02-08,2018,2,한국,1249,2424387,사극,12세이상관람가,김명민,오달수,김지원,6.65
하루,조선호,(주)라인필름,,CGV아트하우스,2017-06-15,2017,6,한국,781,1129018,스릴러,15세이상관람가,김명민,변요한,유재명,7.09
조선명탐정:각시투구꽃의비밀,김석윤,청년필름(주),,(주)쇼박스,2011-01-27,2011,1,한국,611,4786259,코미디,12세이상관람가,김명민,오달수,한지민,8.13
연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,2015,6,한국,1013,6043458,드라마,12세이상관람가,김무열,진구,이현우,8.99
머니백,허준형,(주)젠픽쳐스,,(주)리틀빅픽쳐스,2018-04-12,2018,4,한국,472,52618,액션,15세이상관람가,김무열,박희순,이경영,5.84
리틀프린세스소피아:신비한섬,제이미미첼,,월트디즈니컴퍼니코리아유한책임회사,월트디즈니컴퍼니코리아유한책임회사,2017-09-28,2017,9,미국,135,62454,애니메이션,전체관람가,김미랑,서지연,,8.5
밤의여왕,김제영,"(주)영화사아이비젼,(유)밤의여왕문화산업전문회사",,(주)인벤트스톤,2013-10-17,2013,10,한국,333,2524750,멜로/로맨스,15세이상관람가,김민정,천정명,,6.88
웨딩스캔들,신동엽,(주)엔브릭스,,(주)마인스엔터테인먼트,2012-09-06,2012,9,한국,121,19569,코미디,15세이상관람가,김민준,곽지민,,5.44
아가씨,박찬욱,"유한회사아가씨에프에스,(주)모호필름,(주)용필름",,씨제이이앤엠(주),2016-06-01,2016,6,한국,1171,4277071,스릴러,청소년관람불가,김민희,김태리,하정우,7.09
서유기리턴즈,신동엽,(주)서울무비웍스,,(주)영화사조제,2011-02-17,2011,2,한국,59,12696,코미디,전체관람가,김병만,류담,한민관,5.91
1급기밀,홍기선,"(주)미인픽쳐스,(주)미디어모굴",,(주)리틀빅픽쳐스,2018-01-24,2018,1,한국,512,217816,드라마,12세이상관람가,김상경,김옥빈,최무성,8.84
살인의뢰,손용호,(주)미인픽쳐스,,씨네그루(주)다우기술,2015-03-12,2015,3,한국,646,855980,범죄,청소년관람불가,김상경,김성균,박성웅,6.72
사라진밤,이창희,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",,씨네그루(주)키다리이엔티,2018-03-07,2018,3,한국,925,1314283,스릴러,15세이상관람가,김상경,김강우,김희애,7.01
아빠를빌려드립니다,김덕수,"(주)이스트스카이필름,(주)어뮤즈엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)레드로버",2014-11-20,2014,11,한국,326,172445,코미디,12세이상관람가,김상경,문정희,최다인,7.82
더파이브,정연식,(주)시네마서비스,,씨제이이앤엠(주),2013-11-14,2013,11,한국,501,731212,스릴러,청소년관람불가,김선아,온주완,마동석,6.25
명탐정코난:코난실종사건-사상최악의이틀,야마모토야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2015-02-12,2015,2,일본,187,257381,애니메이션,12세이상관람가,김선혜,강수진,이현진,8.27
명탐정코난:순흑의악몽,시즈노코분,,씨제이이앤엠(주),씨제이이앤엠(주),2016-08-03,2016,8,일본,447,507508,애니메이션,12세이상관람가,김선혜,강수진,이정구,8.99
명탐정코난:감벽의관,야마모토야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2018-02-14,2018,2,일본,487,242166,애니메이션,12세이상관람가,김선혜,강수진,이현진,8.43
퇴마:무녀굴,김휘,"(주)케이프로덕션,플로우식스(주),버티고필름",,씨네그루(주)다우기술,2015-08-20,2015,8,한국,331,120802,공포(호러),15세이상관람가,김성균,유선,천호진,6.6
검은손,박재식,골든타이드픽처스(주),,(주)스톰픽쳐스코리아,2015-04-16,2015,4,한국,178,11650,공포(호러),청소년관람불가,김성수,한고은,,3.23
펭이와친구들의남극대모험,루카스퀴아오,,(주)하이라이트픽쳐스,와이드릴리즈(주),2018-02-28,2018,2,중국,233,22695,애니메이션,전체관람가,김소희,황창영,윤아영,4.42
고死두번째이야기:교생실습,유선동,(주)코어콘텐츠미디어,,(주)넥스트엔터테인먼트월드(NEW),2010-07-28,2010,7,한국,320,872594,공포(호러),15세이상관람가,김수로,황정음,윤시윤,4.72
로맨틱헤븐,장진,(주)시네마서비스글로벌,,(주)시네마서비스,2011-03-24,2011,3,한국,260,73729,드라마,12세이상관람가,김수로,김동욱,김지원,6.47
퀴즈왕,장진,소란플레이먼트(주),,(주)시네마서비스,2010-09-16,2010,9,한국,323,583183,코미디,15세이상관람가,김수로,한재석,송영창,5.89
점쟁이들,신정원,"(주)사람엔터테인먼트,(주)다세포클럽",,(주)넥스트엔터테인먼트월드(NEW),2012-10-03,2012,10,한국,479,900054,코미디,15세이상관람가,김수로,강예원,이제훈,5.8
가문의영광4-가문의수난,정태원,(주)태원엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2011-09-07,2011,9,한국,537,2363955,코미디,15세이상관람가,김수미,신현준,탁재훈,4.14
헬머니,신한솔,"(주)전망좋은영화사,TCO(주)더콘텐츠온",,(주)넥스트엔터테인먼트월드(NEW),2015-03-05,2015,3,한국,422,519983,코미디,청소년관람불가,김수미,정만식,김정태,6.81
은밀하게위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,2013,6,한국,1341,6953800,액션,15세이상관람가,김수현,박기웅,이현우,7.11
리얼,이사랑,(주)코브픽쳐스,,씨제이이앤엠(주),2017-06-28,2017,6,한국,970,470105,액션,청소년관람불가,김수현,이성민,성동일,4.24
나는아빠다,"전만배,이세영",㈜기억속의매미,,롯데쇼핑㈜롯데엔터테인먼트,2011-04-14,2011,4,한국,300,168049,액션,청소년관람불가,김승우,손병호,임하룡,5.67
잡아야산다,오인천,더퀸디앤엠주식회사,,오퍼스픽쳐스,2016-01-07,2016,1,한국,219,54450,코미디,15세이상관람가,김승우,김정태,혁,4.13
캐치미,이현종,"(주)소넷엔터테인먼트,화이브라더스",,롯데쇼핑㈜롯데엔터테인먼트,2013-12-18,2013,12,한국,517,492773,코미디,12세이상관람가,김아중,주원,,6.65
언더더씨,에반트라멜,,(주)히스토리필름,(주)팝엔터테인먼트,2017-06-22,2017,6,미국,163,49958,애니메이션,전체관람가,김연우,황창영,김경희,7.22
악녀,정병길,(주)앞에있다,,(주)넥스트엔터테인먼트월드(NEW),2017-06-08,2017,6,한국,685,1206917,액션,청소년관람불가,김옥빈,신하균,성준,6.96
기술자들,김홍선,(주)트리니티엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2014-12-24,2014,12,한국,641,2564340,범죄,15세이상관람가,김우빈,김영철,고창석,7.1
스물,이병헌,"(주)영화나무,(주)아이에이치큐",,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,2015,3,한국,926,3044134,코미디,15세이상관람가,김우빈,준호,강하늘,7.65
완득이,이한,"(주)유비유필름,어나더픽쳐스(주)",,씨제이이앤엠(주),2011-10-20,2011,10,한국,500,5310510,드라마,12세이상관람가,김윤석,유아인,,8.77
해무(海霧),심성보,"(주)해무,(주)루이스픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2014-08-13,2014,8,한국,584,1466830,드라마,청소년관람불가,김윤석,박유천,한예리,6.84
