,Unnamed: 0,영화명,감독,제작사,수입사,배급사,개봉일,개봉월,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우1,배우2,배우3
951,2,엘리아스: 바다의 보물을 찾아라!,리스 오스볼,,(주)소나무픽쳐스,(주)마인스 엔터테인먼트,2014-10-23,10,노르웨이,199,17305,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=엘리아스: 바다의 보물을 찾아라!%09&section=all&ie=utf8,8.13,데니스스토헤이,엘리자베스모버그,
952,88,쿠보와 전설의 악기,트래비스 나이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-26,10,미국,100,30525,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=쿠보와 전설의 악기%09&section=all&ie=utf8,8.13,랄프파인즈,루니마라,매튜맥커너히
953,542,에이리언: 커버넌트,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-05-09,5,미국,841,1307226,SF,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=에이리언: 커버넌트%09&section=all&ie=utf8,8.13,마이클패스벤더,캐서린워터스턴,
954,772,나루토 질풍전 극장판 4 - 더 로스트 타워,무라타 마사히코,,애니박스 엔터테인먼트,애니박스 엔터테인먼트,2010-12-02,12,일본,60,11221,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=나루토 질풍전 극장판 4 - 더 로스트 타워%09&section=all&ie=utf8,8.13,이노우에카즈히코,모리카와토시유키,나카무라치에
955,1426,조선명탐정 : 각시투구꽃의 비밀,김석윤,청년필름(주),,(주)쇼박스,2011-01-27,1,한국,611,4786259,코미디,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=조선명탐정 : 각시투구꽃의 비밀%09&section=all&ie=utf8,8.13,김명민,오달수,한지민
956,309,메카닉,사이먼 웨스트,,(주)동아수출공사,씨너스엔터테인먼트(주),2011-02-24,2,미국,226,217077,드라마,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=메카닉%09&section=all&ie=utf8,0,제이슨스타뎀,벤포스터,
957,301,비포 미드나잇,리차드 링클레이터,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2013-05-22,5,미국,275,203476,드라마,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=비포 미드나잇%09&section=all&ie=utf8,8.14,,,
958,717,더 임파서블,후안 안토니오 바요나,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-01-17,1,스페인,408,622572,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=더 임파서블%09&section=all&ie=utf8,8.14,이완맥그리거,나오미왓츠,톰홀랜드
959,891,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,유야마 쿠니히코,,(주)포켓몬코리아,씨제이이앤엠(주),2012-12-19,12,일본,275,348883,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」%09&section=all&ie=utf8,8.14,오오타니이쿠에,마츠모토리카,미야노마모루
960,67,차일드 44,다니엘 에스피노사,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2015-05-28,5,미국,145,21604,스릴러,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=차일드 44%09&section=all&ie=utf8,8.15,톰하디,누미라파스,게리올드만
