영화명,개봉일,상영횟수,상영점유율
500일의 썸머,2010-01-21,"9,259",0.00 
허트 로커,2010-04-22,"9,201",0.00 
애프터 라이프,2010-09-02,"9,147",0.00 
꿈은 이루어진다,2010-05-27,"8,984",0.00 
돌이킬 수 없는,2010-11-04,"8,780",0.00 
폐가,2010-08-19,"8,769",0.00 
발렌타인 데이,2010-02-11,"8,750",0.00 
대병소장,2010-03-11,"8,745",0.00 
프로포즈 데이,2010-04-08,"8,697",0.00 
나이트메어,2010-05-20,"8,649",0.00 
더 로드,2010-01-07,"8,323",0.00 
죽이고 싶은,2010-08-26,"8,255",0.00 
"울지마, 톤즈",2010-09-09,"8,124",0.00 
내니맥피 2: 유모와마법소동,2010-08-11,"8,083",0.00 
라스트 엑소시즘,2010-12-01,"8,016",0.00 
하치 이야기,2010-02-18,"7,735",0.00 
들어는 봤니? 모건 부부,2010-01-28,"7,613",0.00 
쏘우 3D,2010-11-18,"7,410",0.00 
사랑은 언제나 진행중,2010-03-11,"7,385",0.00 
스플라이스,2010-07-01,"7,375",0.00 
트론: 새로운 시작,2010-12-29,"7,278",0.00 
쓰리 데이즈,2010-12-22,"7,004",0.00 
8인: 최후의 결사단,2010-01-21,"6,989",0.00 
스위치,2010-12-01,"6,854",0.00 
센츄리온,2010-08-26,"6,677",0.00 
바운티 헌터,2010-04-15,"6,624",0.00 
엽문2,2010-06-16,"6,623",0.00 
듀 데이트,2010-11-24,"6,567",0.00 
더 콘서트,2010-11-25,"6,467",0.00 
우리가 꿈꾸는 기적: 인빅터스,2010-03-04,"6,439",0.00 
폭풍전야,2010-04-01,"6,410",0.00 
브라더스,2010-05-05,"6,269",0.00 
회복,2010-01-14,"6,095",0.00 
여대생 기숙사,2010-06-23,"6,054",0.00 
디센트: Part 2,2010-08-11,"5,657",0.00 
극장판 도라에몽: 진구의 인어대해전,2010-07-28,"5,639",0.00 
마법천자문: 대마왕의 부활을 막아라,2010-08-19,"5,576",0.00 
김복남 살인사건의 전말,2010-09-02,"5,467",0.00 
에브리바디 올라잇,2010-09-02,"5,420",0.00 
베리드,2010-12-08,"5,323",0.00 
킬러 인사이드 미,2010-07-07,"5,200",0.00 
캣츠 앤 독스 2,2010-09-16,"5,158",0.00 
엑스페리먼트,2010-08-11,"5,124",0.00 
집 나온 남자들,2010-04-08,"4,959",0.00 
필립모리스,2010-07-01,"4,923",0.00 
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010-12-23,"4,661",0.00 
된장,2010-10-21,"4,657",0.00 
골든 슬럼버,2010-08-26,"4,638",0.00 
작은 연못,2010-04-15,"4,593",0.00 
아마존의 눈물,2010-03-25,"4,393",0.00 
케로로 더 무비 5: 기적의 사차원섬,2010-04-29,"4,382",0.00 
원피스 극장판: 스트롱 월드,2010-02-11,"4,303",0.00 
아바타 3D 스페셜에디션,2010-09-04,"4,188",0.00 
극장판파워레인저 엔진포스VS 와일드스피릿,2010-01-07,"4,088",0.00 
파르나서스 박사의 상상극장,2009-12-23,"3,947",0.00 
위핏,2010-02-18,"3,906",0.00 
톨스토이의 마지막 인생,2010-12-15,"3,738",0.00 
대지진,2010-11-04,"3,468",0.00 
포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,"3,452",0.00 
엘라의 모험 2: 백설공주 길들이기,2010-02-25,"3,349",0.00 
인 디 에어,2010-03-11,"3,317",0.00 
오션월드 3D,2010-08-11,"3,269",0.00 
공주와 개구리,2010-01-21,"3,147",0.00 
아더와 미니모이 2 : 셀레니아 공주 구출 작전,2010-07-08,"3,031",0.00 
주문진,2010-01-21,"2,820",0.00 
하하하,2010-05-05,"2,729",0.00 
콜링 인 러브,2010-03-25,"2,720",0.00 
노다메 칸타빌레 Vol.1,2010-09-09,"2,613",0.00 
소명 2-모겐족의 월드컵,2010-04-01,"2,593",0.00 
소와 함께 여행하는 법,2010-11-03,"2,516",0.00 
런어웨이즈,2010-06-24,"2,506",0.00 
헤이트 발렌타인데이,2010-02-04,"2,434",0.00 
G-포스: 기니피그 특공대,2010-04-22,"2,411",0.00 
하비의 마지막 로맨스,2010-10-28,"2,259",0.00 
플래닛 51,2010-10-21,"2,246",0.00 
커플 테라피: 대화가 필요해,2010-02-25,"2,194",0.00 
제로 포커스,2010-03-25,"2,026",0.00 
내 남자의 순이,2010-05-27,"2,013",0.00 
아메리칸,2010-12-29,"1,979",0.00 
페어러브,2010-01-14,"1,978",0.00 
옥희의 영화,2010-09-16,"1,925",0.00 
쏘우-여섯번의 기회,2010-01-07,"1,854",0.00 
사요나라 이츠카,2010-04-15,"1,715",0.00 
토마스와 친구들 - 극장판 2,2010-06-10,"1,645",0.00 
토너먼트,2010-09-02,"1,607",0.00 
스페이스 침스 - 자톡의 역습 3D,2010-08-19,"1,529",0.00 
위대한 침묵,2009-12-03,"1,497",0.00 
예언자,2010-03-11,"1,402",0.00 
청설,2010-06-17,"1,393",0.00 
기적의 오케스트라 - 엘 시스테마,2010-08-12,"1,389",0.00 
동쪽의 에덴 극장판 ① 더 킹오브 에덴,2010-01-28,"1,349",0.00 
싱글맨,2010-05-27,"1,269",0.00 
불타는 내 마음,2010-03-25,"1,257",0.00 
러브 매니지먼트,2009-12-31,"1,170",0.00 
밀크,2010-02-25,"1,159",0.00 
귀 鬼,2010-06-10,"1,067",0.00 
유희왕,2010-01-28,"1,041",0.00 
고스트: 보이지 않는 사랑,2010-11-25,"1,028",0.00 
테라 3D: 인류 최후의 전쟁,2010-11-04,"1,026",0.00 
레고:클러치파워의 모험,2010-06-10,"1,007",0.00 
나루토 질풍전 극장판 4 - 더 로스트 타워,2010-12-02,985,0.00 
조금만 더 가까이,2010-10-28,974,0.00 
더 도어,2010-09-02,956,0.00 
어쿠스틱,2010-10-28,925,0.00 
리틀 애쉬 : 달리가 사랑한 그림,2010-01-14,888,0.00 
벡,2010-11-18,830,0.00 
공기인형,2010-04-08,812,0.00 
요술,2010-06-24,798,0.00 
