영화명,개봉일,상영횟수,상영점유율
포스터,2013-12-19,17,0.00 
포세이돈 어드벤쳐,1974-02-27,17,0.00 
창공에 산다,,17,0.00 
"울지마, 톤즈",2010-09-09,17,0.00 
무기여 잘 있거라,1974-01-01,17,0.00 
웨스트 사이드 스토리,1999-05-29,17,0.00 
젠엑스 캅,2000-06-24,17,0.00 
동방불패,1992-03-25,17,0.00 
북촌방향,2011-09-08,16,0.00 
킬리만자로의 눈,,16,0.00 
내가 마지막 본 파리,2011-02-07,16,0.00 
자유부인,1956-06-09,16,0.00 
하이 눈,,16,0.00 
시저와 클레오파트라,,16,0.00 
삼손과 데릴라,1974-12-21,16,0.00 
노인을 위한 나라는 없다,2008-02-21,16,0.00 
워터 프론트,,16,0.00 
동방삼협,1993-04-24,16,0.00 
징기스칸,1977-03-18,16,0.00 
역마차,,16,0.00 
킹콩,,16,0.00 
모감보,,16,0.00 
어톤먼트,2008-02-21,16,0.00 
이창,,16,0.00 
미녀전쟁,2013-12-19,16,0.00 
건,2013-12-26,16,0.00 
빨간 마후라,,16,0.00 
수호지-신비술사,2013-12-18,16,0.00 
사라진 기억,2013-12-12,16,0.00 
스콘드: 잔혹 불륜사,2013-11-14,16,0.00 
할매,2013-08-29,16,0.00 
할매-시멘트정원,2013-08-29,16,0.00 
이로도리 인생2막,2013-09-27,16,0.00 
히든서스펙트,2013-05-23,16,0.00 
이티피 페스티벌 08X09 서태지,2013-05-03,16,0.00 
대석굴암,,16,0.00 
디 엔드: 인류 최후의 날,2013-03-13,16,0.00 
파닥파닥,2012-07-25,16,0.00 
"쏘리,알러뷰",2013-02-14,16,0.00 
돈 지오반니,2012-02-29,16,0.00 
뜨개질,,16,0.00 
스파르타쿠스,,16,0.00 
캐리,1978-09-17,16,0.00 
완전범죄 프로젝트,2013-12-19,15,0.00 
다른나라에서,2012-05-31,15,0.00 
영아,,15,0.00 
배드 블러드,2013-04-24,15,0.00 
무민가족의 한여름 대소동,2013-06-20,15,0.00 
에바로드,,15,0.00 
글래디에이터: 로마 영웅 탄생의 비밀 3D 확장 감독판,2013-07-25,15,0.00 
봉배도저,2013-12-18,15,0.00 
미워도 다시 한번 '80,1980-06-21,15,0.00 
젊은이의 양지,1972-10-28,15,0.00 
아프리카의 여왕,,15,0.00 
흑협 2,2013-11-20,15,0.00 
청춘극장,1975-09-20,15,0.00 
스미스 워싱톤에 가다,,15,0.00 
스타 탄생,,15,0.00 
안소니퀸의 길,,15,0.00 
최민수의 어쌔씬 코드,2013-12-24,14,0.00 
에반게리온: 파,2009-12-03,14,0.00 
애니 레보비츠: 렌즈를 통해 들여다본 삶,2009-06-11,14,0.00 
돈 크라이 마미,2012-11-22,14,0.00 
댄서김의 은밀한 교수법,2013-10-02,14,0.00 
군사통제구역 팔이공지대,2013-07-25,14,0.00 
동심초,,14,0.00 
소원,,14,0.00 
나의 가족 나의 도시,,14,0.00 
파이어 위드 파이어,2013-02-21,14,0.00 
황야의 결투,2010-11-30,14,0.00 
맘마미아!,2008-09-03,14,0.00 
반드시 크게 들을 것 2 : Wild Days,2012-11-22,14,0.00 
슬립타이트,2013-05-23,14,0.00 
비련,,14,0.00 
전쟁과 평화,1977-09-27,14,0.00 
밤,,14,0.00 
부기우기: 상위 1%의 섹스,2013-06-20,14,0.00 
두만강아 잘 있거라,,14,0.00 
베른의 기적,2004-09-10,14,0.00 
에반게리온 : 서(序),2008-01-24,14,0.00 
수호지-의적유당,2013-11-22,14,0.00 
마다가스카3 : 이번엔 서커스다!,2012-06-06,13,0.00 
양과자점 코안도르,2011-07-28,13,0.00 
속 대부,1978-04-20,13,0.00 
수색자,,13,0.00 
7년만의 외출,,13,0.00 
마부,,13,0.00 
접속,1997-09-13,13,0.00 
데이 앤 나이트,2013-10-31,13,0.00 
브레이크 블레이드6: 결전의 시간,2013-08-22,13,0.00 
우리 엄마는 돌리파튼,2013-08-04,13,0.00 
카라마조프가의 형제들,,13,0.00 
비랄의 멋진 세상,,13,0.00 
세븐데이즈,2013-01-31,13,0.00 
수호지 가면영웅 - 귀두,2013-01-31,13,0.00 
오페라-투란도트(메트로폴리탄),2010-01-10,12,0.00 
제3의 사나이,2008-08-09,12,0.00 
피서지에서 생긴 일,1972-08-19,12,0.00 
파리의 아메리카인,,12,0.00 
사랑은 비를 타고,,12,0.00 
두 개의 문,2012-06-21,12,0.00 
사랑의 스잔나,1976-08-12,12,0.00 
알렉산더대왕,,12,0.00 
마지막 찻잔,1979-07-06,12,0.00 
여로,,12,0.00 
젊은 사자들,,12,0.00 
욕망이라는 이름의 전차,,12,0.00 
해피엔드,1999-12-11,12,0.00 
마더 데레사,2005-01-21,12,0.00 
황태자의 첫사랑,,12,0.00 
돌아오지 않는 강,1971-04-27,12,0.00 
쿼바디스,1973-01-13,12,0.00 
에덴의 동쪽,1973-02-22,12,0.00 
베라크루스,1971-02-13,12,0.00 
OK 목장의 결투,,12,0.00 
해저 2만리,,12,0.00 
7인의 신부,1972-12-24,12,0.00 
마음의 행로,,12,0.00 
지상 최대의 작전,,12,0.00 
남태평양,1971-08-07,12,0.00 
별들의 고향,1974-04-26,12,0.00 
제인 에어,,12,0.00 
원탁의 기사,,12,0.00 
전송가,,12,0.00 
가스등,,12,0.00 
학교 가는 길,,12,0.00 
왕중왕,,12,0.00 
블랑섹의 기이한모험,2013-02-07,12,0.00 
가족시네마,2012-11-08,12,0.00 
국도올빼미 상영회,,11,0.00 
오페라-아이다,2009-12-06,11,0.00 
카르멘,2012-11-10,11,0.00 
집,,11,0.00 
사샤,2013-03-14,11,0.00 
봄날은 간다,2001-09-28,11,0.00 
클래식,2003-01-30,11,0.00 
아씨,,11,0.00 
기적,1972-12-23,11,0.00 
리버티 밸런스를 쏜 사나이,,11,0.00 
사랑방 손님과 어머니,,11,0.00 
빙점 '81,1981-04-18,11,0.00 
돌아오지 않는 해병,,11,0.00 
밀프,2013-06-20,11,0.00 
인헤리턴스,2013-06-20,11,0.00 
돈과 사랑,,11,0.00 
베이비 메이커스,2013-01-31,11,0.00 
레베카,,11,0.00 
오란고교 호스트부,2013-03-14,11,0.00 
월하의 침략자,2013-08-15,11,0.00 
팔도 사나이,,10,0.00 
숨바꼭질,2005-02-25,10,0.00 
분노의 포도,,10,0.00 
목격자의 밤,,10,0.00 
더 피플 아이브 슬렙 위드,2013-01-30,10,0.00 
다크아워,2012-01-05,10,0.00 
내 남자의 아내도 좋아,2009-04-15,10,0.00 
가위손,1991-06-29,10,0.00 
잘 알지도 못하면서,2009-05-14,10,0.00 
두 여인,,10,0.00 
오만과 편견,,10,0.00 
오페라-카르멘(메트로폴리탄),2010-04-04,10,0.00 
장군의 아들 2,1991-07-20,10,0.00 
겨울여자,1977-09-27,10,0.00 
오르가즘 다이어리,2013-12-05,10,0.00 
식스 블릿츠: 분노의 추적,2013-08-16,10,0.00 
그림리퍼,2013-05-23,10,0.00 
스톤 부인의 로마의 봄,,10,0.00 
웰컴 투 사우스,2012-12-13,10,0.00 
암살자,,9,0.00 
샤레이드,,9,0.00 
마릴린 먼로와 함께한 일주일,2012-02-29,9,0.00 
시에라 마드레의 보물,,9,0.00 
황야의 7인,,9,0.00 
백만장자와 결혼하는 법,,9,0.00 
의사 안중근,1972-02-16,9,0.00 
영자의 전성시대,1975-02-11,9,0.00 
솔루션,,9,0.00 
언터처블: 1%의 우정,2012-03-22,9,0.00 
나는 살고 싶다,,9,0.00 
창공의 영웅 린드바크,,9,0.00 
이주일의 리빠동 사장,1980-10-18,9,0.00 
코메디: 다 웃자고 하는 얘기,,9,0.00 
할망바다,,9,0.00 
시선 너머,2011-04-28,9,0.00 
춘향뎐(春香傳),2000-01-29,9,0.00 
50/50,2011-11-24,9,0.00 
강화도령,,9,0.00 
차와 동정,,9,0.00 
오션스 일레븐,2002-02-28,9,0.00 
런던에서 온 사나이,,9,0.00 
왕과 나,,9,0.00 
정오의 출격,,9,0.00 
효녀 심청,1972-11-17,9,0.00 
더 리더: 책 읽어주는 남자,2009-03-26,9,0.00 
링컨,,9,0.00 
기쁜 우리 젊은 날,1987-05-02,9,0.00 
비는 행운을 싣고,,9,0.00 
독짓는 늙은이,1969-03-04,9,0.00 
내시,,9,0.00 
맹진사댁 경사,,9,0.00 
데드 엔드,2013-11-14,9,0.00 
마이 플레이스,2014-01-30,9,0.00 
갯마을,1978-08-06,9,0.00 
일본 천황과 폭탄 의사,,9,0.00 
이조 여인잔혹사,1969-05-02,9,0.00 
내일은 영원히,,9,0.00 
불량경찰: 부정부패 소탕작전,2013-08-29,9,0.00 
타락천사,1995-12-23,9,0.00 
몬테크리스토 백작,,9,0.00 
대해적,,9,0.00 
슬립리스 나이트,2013-07-11,9,0.00 
친구의 아내를 탐하다,2013-05-31,9,0.00 
아웃포스트 : 블랙선,2013-06-20,9,0.00 
귀부인과 승무원,,9,0.00 
"잔인한 나의, 홈",,9,0.00 
굿바이 미스터 칩스,,9,0.00 
버크 앤 헤어,2013-05-22,9,0.00 
크로스 라인,2013-04-05,9,0.00 
어펜더: 범죄와의 전쟁,2013-04-26,9,0.00 
아메리카파이: 19금 여배우들,2013-02-28,9,0.00 
"달려라, 그랜드라이더스!",,9,0.00 
성의,1986-12-31,9,0.00 
열정,,9,0.00 
프리즈마,,9,0.00 
개들의 전쟁,2012-11-22,9,0.00 
우결,,8,0.00 
해결사,2013-01-24,8,0.00 
플라스틱 섹스,2012-12-26,8,0.00 
더 스토리: 세상에 숨겨진 사랑,2012-12-06,8,0.00 
삼포가는 길,1975-05-23,8,0.00 
황금광 시대,1990-02-17,8,0.00 
아련한 봄 빛,,8,0.00 
블루 발렌타인,2012-05-31,8,0.00 
우리 생애 최고의 해,,8,0.00 
제인 에어,2011-04-20,8,0.00 
바비,2012-10-25,8,0.00 
아나스타샤,1997-12-20,8,0.00 
렛 미 인,2008-11-13,8,0.00 
생활의 발견,2002-03-21,8,0.00 
박하사탕,2000-01-01,8,0.00 
하하하,2010-05-05,8,0.00 
매치 포인트,2006-04-13,8,0.00 
십계,1973-06-16,8,0.00 
자전거 탄 소년,2012-01-19,8,0.00 
신참 경찰,,8,0.00 
엘 시드,1971-09-21,8,0.00 
환상의 그대,2011-01-27,8,0.00 
스팔타카스,1974-01-23,8,0.00 
서편제,1993-04-10,8,0.00 
비지터,2012-11-08,8,0.00 
내 마음의 풍금,1999-03-27,8,0.00 
롤플레이2 : 동침,2013-11-21,8,0.00 
카르고,2013-09-12,8,0.00 
장군의 아들,1990-06-09,8,0.00 
늑대인간,2013-09-12,8,0.00 
알렉산더 : 절대 영웅의 탄생,2013-09-17,8,0.00 
"村, 금가이",,8,0.00 
무사 4대 문파와의 혈투,2013-08-23,8,0.00 
하비비,,8,0.00 
차일디쉬 게임즈,2013-09-26,8,0.00 
우리동네 포르노스타,2013-07-10,8,0.00 
내가 같이 있어 줄게,,8,0.00 
갑과 을 그리고 병,,8,0.00 
늦여름,,8,0.00 
어쩌면 우리는,,8,0.00 
무지개 도시,,8,0.00 
서울집,,8,0.00 
농담,,8,0.00 
메인 스트리트,2013-03-28,8,0.00 
세븐 빌로우,2013-03-28,8,0.00 
정사 : 두 여자와의 로맨스,2013-04-19,8,0.00 
뷰티풀 아일랜드,,8,0.00 
그 여자,,8,0.00 
대마술사,2013-05-17,8,0.00 
레닌그라드: 900일간의 전투,2013-01-20,8,0.00 
과장된 자연 이야기,,7,0.00 
섬 위의 주먹,,7,0.00 
분수의 기억을 더듬으며,,7,0.00 
내 빨간 풍선,,7,0.00 
로켓보이,,7,0.00 
장난감 병정의 사랑,,7,0.00 
내 어머니의 미소,,7,0.00 
차이나 블루,2012-12-13,7,0.00 
작은 아씨들,,7,0.00 
청춘유예,,7,0.00 
아워 이디엇 브라더,2012-11-29,7,0.00 
라즈 온 에어,,7,0.00 
하와이언 레시피,2012-07-19,7,0.00 
볼케이노: 삶의 전환점에 선 남자,2012-11-22,7,0.00 
좋은 사람 생기면...,,7,0.00 
십년의 커밍아웃,,7,0.00 
토리노의 말,2012-02-23,7,0.00 
지상의 별처럼,2012-09-06,7,0.00 
데인저러스 메소드,2012-05-10,7,0.00 
그린 맨션,,7,0.00 
공공의 적,2002-01-24,7,0.00 
드라이브,2011-11-17,7,0.00 
어거스트 러쉬,2007-11-29,7,0.00 
판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,7,0.00 
"조제, 호랑이 그리고 물고기들",2004-10-29,7,0.00 
극장전,2005-05-26,7,0.00 
"혜화, 동",2011-02-17,7,0.00 
진짜로 일어날지도 몰라 기적,2011-12-22,7,0.00 
안경,2007-11-29,7,0.00 
로맨스 그레이,1979-02-09,7,0.00 
인디애니페스트 2010_한국,,7,0.00 
생선 쿠스쿠스,,7,0.00 
알제리 전투,2009-10-15,7,0.00 
세이사쿠의 아내,,7,0.00 
주님의 학교,,7,0.00 
원스,2007-09-20,7,0.00 
비키니 대작전,2013-09-06,7,0.00 
소원택시,2013-10-04,7,0.00 
렉토베르소,,7,0.00 
무지개 분대,,7,0.00 
댄서,,7,0.00 
더 패키지: 일급비밀,2013-07-26,7,0.00 
스위트 카르마,2013-08-01,7,0.00 
권법 쿵푸의 신,2013-08-02,7,0.00 
포르노그래픽 러브,2013-08-09,7,0.00 
팬더와 친구들의 모험,2013-08-24,7,0.00 
스티븐 시걸의 리벤지,2013-06-28,7,0.00 
뜨거운 욕망,2013-07-12,7,0.00 
너를 위해,,7,0.00 
아웃 인 더 다크,,7,0.00 
비토,,7,0.00 
해밀턴2: 살인면허,2013-06-14,7,0.00 
페이싱 미러즈,,7,0.00 
퍼펙트 엔딩,,7,0.00 
퍼레이드,,7,0.00 
언디스퓨티드: 1대100의 혈투,2013-06-07,7,0.00 
2차 노출,2013-09-12,7,0.00 
포 엘렌,2013-08-08,7,0.00 
강선장,,7,0.00 
졸업여행,,7,0.00 
사랑의 가위바위보,,7,0.00 
레볼루션 아일랜드,2013-05-29,7,0.00 
더도 말고 덜도 말고,,7,0.00 
스태쉬 하우스,2013-05-30,7,0.00 
남자 대 여자: 섹스가 문제다,2013-05-03,7,0.00 
징기스칸 : 제국의 건설,2013-02-08,7,0.00 
레이징 피닉스2 : 여자옹박의 귀환,2013-02-15,7,0.00 
아티스트,2012-02-16,7,0.00 
내일을 위한 길,,7,0.00 
행복한 두더지,,7,0.00 
내가 책이라면,,7,0.00 
빨간 사과 하나,,7,0.00 
바다,,7,0.00 
악마가 너의 죽음을 알기전에,2009-05-14,6,0.00 
내일의 팔도강산,1971-01-12,6,0.00 
베일,2013-12-05,6,0.00 
인사이드 르윈,2014-01-29,6,0.00 
오즈의 마법사,2012-05-03,6,0.00 
울면서 달리기,,6,0.00 
"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",2014-01-09,6,0.00 
9번의 여름과 10번의 가을,,6,0.00 
감독특별전-남궁선,,6,0.00 
노랑머리 - 플라스틱 섹스,2013-08-01,6,0.00 
깁스를 한 남자,,6,0.00 
남자들,,6,0.00 
거짓말,,6,0.00 
조우,,6,0.00 
동거,,6,0.00 
나는 쿠추다,,6,0.00 
미스터 컴퍼니,2014-02-27,6,0.00 
카얀,,6,0.00 
연결도시,,6,0.00 
아실,,6,0.00 
나무의 시간,,6,0.00 
당신이 버린 개에 관한 이야기,,6,0.00 
자기만의 방,,6,0.00 
내가 다 알아서 할게,,6,0.00 
껌,,6,0.00 
사랑의 묘약,,6,0.00 
축지법과 비행술,,6,0.00 
잘 먹고 잘 사는 법,,6,0.00 
대상해,2013-04-06,6,0.00 
옹박 : 영웅의 탄생,2013-02-21,6,0.00 
저수지의 괴물,,6,0.00 
폭풍의 언덕,2012-06-28,6,0.00 
맥시멈 컨빅션,2013-01-11,6,0.00 
승리,,6,0.00 
이불,,6,0.00 
달팽이의 별,2012-03-22,6,0.00 
황제펭귄 펭이와 솜이,2012-08-08,6,0.00 
"똑똑똑, 안녕하세요. 천사입니다",,6,0.00 
지난 여름,,6,0.00 
이코키-로스트,,6,0.00 
하나안,2012-10-11,6,0.00 
딱따구리와 비,2012-05-03,6,0.00 
내가 살인범이다,2012-11-08,6,0.00 
손님,,6,0.00 
성냥공장 소녀,2001-04-28,6,0.00 
오퍼나지 - 비밀의 계단,2008-02-14,6,0.00 
위 오운 더 나잇,2008-05-29,6,0.00 
오아시스,2002-08-14,6,0.00 
킥 오프,2010-07-08,6,0.00 
인 디 에어,2010-03-11,6,0.00 
2046,2004-10-15,6,0.00 
사랑을 놓치다,2006-01-26,6,0.00 
피아니스트,2002-12-20,6,0.00 
사랑 후에 남겨진 것들,2009-02-19,6,0.00 
러시아 방주,,6,0.00 
영광의 탈출,,6,0.00 
또 하나의 약속,2014-02-06,6,0.00 
눈 먼 짐승,,5,0.00 
만지,,5,0.00 
문신,,5,0.00 
붉은 천사,,5,0.00 
아내는 고백한다,,5,0.00 
라쇼몽,,5,0.00 
열쇠,,5,0.00 
위 캔 두 댓!,,5,0.00 
수영장의 고양이들,,5,0.00 
유치찬란한 신데렐라,,5,0.00 
숭시,,5,0.00 
산다,,5,0.00 
리포! 더 제네틱 오페라,2013-07-24,5,0.00 
수련,,5,0.00 
트렁크,,5,0.00 
그레코로만,,5,0.00 
엘리펀트 화이트,2013-02-28,5,0.00 
수호지 바람의 영웅 - 금모견,2013-02-28,5,0.00 
2의 증명,,5,0.00 
잔인한 내림(遺傳),,5,0.00 
그들은 밤에 산다,,5,0.00 
J.에드가 - FBI의 시작,,5,0.00 
빛의 신호,,5,0.00 
피메일 에이전트,2013-02-14,5,0.00 
배꼽,2013-01-17,5,0.00 
믹의 지름길,,5,0.00 
초대,,5,0.00 
이집트혁명 리포트,,5,0.00 
불꽃,,5,0.00 
둘로 잘린 소녀,,5,0.00 
그 자퇴하는 학생은 어디로 가면 됩니까!,,5,0.00 
메밀꽃 필 무렵,,5,0.00 
제7의 봉인,2012-05-10,5,0.00 
헤이와이어,2012-07-05,5,0.00 
슈퍼스타,2012-06-07,5,0.00 
남영동1985,2012-11-22,5,0.00 
긴 이별,,5,0.00 
두더지와 새,,5,0.00 
쇼걸,1995-11-18,5,0.00 
야곱 신부의 편지,2012-05-10,5,0.00 
멋진 하루,2008-09-25,5,0.00 
아르마딜로,2012-04-26,5,0.00 
빛을 향한 노스탤지어,,5,0.00 
구보씨 일보,,5,0.00 
본 얼티메이텀,2007-09-12,5,0.00 
비커밍 제인,2007-10-11,5,0.00 
마리 앙투아네트,2007-05-17,5,0.00 
황혼의 빛,2006-12-14,5,0.00 
컨트롤러,2011-03-03,5,0.00 
레닌그라드 카우보이 미국에 가다,1996-05-18,5,0.00 
과거가 없는 남자,2005-10-14,5,0.00 
적인걸: 측천무후의 비밀,2010-10-06,5,0.00 
제노바,2009-11-19,5,0.00 
열혈남아,1989-10-14,5,0.00 
역도산,2004-12-15,5,0.00 
열혈남아,2006-11-09,5,0.00 
옥희의 영화,2010-09-16,5,0.00 
인디애니박스:셀마의 단백질 커피,2008-06-20,5,0.00 
아이 엠 러브,2011-01-20,5,0.00 
파란만장,,5,0.00 
파수꾼,2011-03-03,5,0.00 
당통,,5,0.00 
대학졸업영화제2,,5,0.00 
보헤미안의 생,,5,0.00 
말하는 건축가,2012-03-08,5,0.00 
러브 송,2010-04-08,5,0.00 
네 번의 결혼식과 한 번의 장례식,1994-07-16,5,0.00 
퐁네프의 연인들,1992-04-18,5,0.00 
백년해로외전,,5,0.00 
불을 지펴라,,5,0.00 
남편은 보았다,,5,0.00 
해피엔딩 네버엔딩,2014-02-13,5,0.00 
후쿠시마의 미래,2015-04-09,5,0.00 
오렌지,2013-11-20,5,0.00 
미 앤 유,2014-02-27,5,0.00 
표적이 된 학원,2013-12-05,5,0.00 
21 앤드 오버,2013-12-18,5,0.00 
클린스킨,2014-01-01,5,0.00 
천국의 그림자,,5,0.00 
나는 살인청부업자를 고용했다,,5,0.00 
토탈 발라라이카 쇼,,5,0.00 
어둠은 걷히고,,5,0.00 
상하이 콜링,2013-12-24,5,0.00 
11월 단편 상상극장-엄태화,,5,0.00 
10월 단편 상상극장-제7회 대단한 단편영화제 수상작 모음,,5,0.00 
얀 겔의 위대한 실험,,5,0.00 
더 워드,,5,0.00 
들불,,5,0.00 
만원 전차,,5,0.00 
니혼바시,,5,0.00 
처형의 방,,5,0.00 
나카노 스파이 학교,,5,0.00 
발에 닿은 여자,,5,0.00 
거인과 완구,,5,0.00 
빙벽,,5,0.00 
명랑소녀,,5,0.00 
입맞춤,,5,0.00 
모두스 아노말리,,5,0.00 
5cm,,5,0.00 
벨렝구: 토끼살인마,,5,0.00 
몰리에르,,5,0.00 
드래곤 에이지,2013-07-25,5,0.00 
영웅이 되고 싶은 남자,2013-08-08,5,0.00 
스와핑 클럽,2013-08-22,5,0.00 
나는 두 살,,5,0.00 
파계,,5,0.00 
남동생,,5,0.00 
핫 코너,,5,0.00 
버닝맨,2013-08-07,5,0.00 
수상한 가족,2013-08-28,5,0.00 
브랜디드,2013-09-25,5,0.00 
집으로 오는 길,,5,0.00 
9월이 지나면,,5,0.00 
정모날,,5,0.00 
24개월 후,,5,0.00 
4교시 체육시간,,5,0.00 
댄스 위드 마이 마더,,5,0.00 
"안녕, 루키",,5,0.00 
앱사피엔스,,5,0.00 
달이 기울면,,5,0.00 
바람이 지나는 길,,5,0.00 
D-24,,5,0.00 
얼굴,,5,0.00 
김치컬트,,5,0.00 
"섬 안의 섬, 그 안의 더 많은 바다, 그리고 그 안의 더 많은 섬들",,5,0.00 
"피스, 피스",,5,0.00 
낙원,,5,0.00 
허창열씨 오구굿,,5,0.00 
맛있는 섹스 - 인연,2013-06-27,5,0.00 
로얄러브,,5,0.00 
투사들,,5,0.00 
더 데이,2013-04-22,5,0.00 
주희,,5,0.00 
"안녕, 콰가",,5,0.00 
크림맨,,5,0.00 
밍크코트,2012-01-12,4,0.00 
나의 위니펙,,4,0.00 
번개,,4,0.00 
라 비 앙 로즈,2007-11-21,4,0.00 
밀레니엄 제 1부 : 여자를 증오한 남자들,2012-01-05,4,0.00 
금지된 장난,1992-09-26,4,0.00 
세상의 모든 아침,1992-11-01,4,0.00 
보리밭을 흔드는 바람,2006-11-02,4,0.00 
스쿠프,2007-02-01,4,0.00 
더 브레이브,2011-02-24,4,0.00 
헐리우드 엔딩,2005-09-30,4,0.00 
우디 앨런의 애니씽 엘스,2005-02-04,4,0.00 
퀸 락 몬트리올,2009-07-30,4,0.00 
디어 한나,2012-03-29,4,0.00 
오리엔테이션,,4,0.00 
아쇼크,,4,0.00 
왈츠 속의 탱고,,4,0.00 
소리아이,2008-09-18,4,0.00 
블랙비너스,2011-01-04,4,0.00 
자브리스키 포인트,,4,0.00 
우리 학교,2007-03-29,4,0.00 
투 러버스,2014-01-23,4,0.00 
고모라,2011-04-28,4,0.00 
침묵의 빛,,4,0.00 
아버지를 위한 노래,2012-05-03,4,0.00 
이키루,,4,0.00 
돼지의 왕,2011-11-03,4,0.00 
가면놀이,,4,0.00 
아임 낫 데어,2008-05-29,4,0.00 
미드나잇 미트 트레인,2008-08-21,4,0.00 
7인의 사무라이,,4,0.00 
알라바마 이야기,,4,0.00 
토일렛,2010-12-02,4,0.00 
"마스크 속, 은밀한 자부심",,4,0.00 
친절한 마음과 화관,,4,0.00 
8과 1/2,,4,0.00 
다크 나이트 라이즈,2012-07-19,4,0.00 
비기닝,2011-10-27,4,0.00 
맨하탄 미스테리,,4,0.00 
우디 알렌의 부부일기,,4,0.00 
스윗 앤 로다운,,4,0.00 
멜린다와 멜린다,,4,0.00 
브라운 버니,,4,0.00 
불확실성의 원리,,4,0.00 
에브리원 세즈 아이러브유,1997-05-24,4,0.00 
쉘부르의 우산,1992-09-26,4,0.00 
캐치 미 이프 유 캔,2003-01-24,4,0.00 
스몰 타임 크룩스,2003-01-24,4,0.00 
라스트 데이즈,2006-04-27,4,0.00 
클라라,2010-12-16,4,0.00 
앙젤리카의 이상한 사례,,4,0.00 
그을린 사랑,2011-07-21,4,0.00 
조용한 결투,2010-12-16,4,0.00 
그리즐리 맨,,4,0.00 
사하라 사막의 모래,,4,0.00 
당신의 작은 손으로,,4,0.00 
키드 캔터크의 발라드,,4,0.00 
다른 반쪽,,4,0.00 
나는 독일어로 꿈꾸지 않는다,,4,0.00 
엔드리스 비기너,,4,0.00 
작은 세계,,4,0.00 
뻔뻔한 20달러,,4,0.00 
"자, 서쪽으로",,4,0.00 
아윌 텔 유,,4,0.00 
낙서와 설렘,,4,0.00 
연극 같은 삶,,4,0.00 
세상의 끝,,4,0.00 
기항지,,4,0.00 
알파마,,4,0.00 
지도 위 X,,4,0.00 
거미의 땅,2016-01-14,4,0.00 
태양,,4,0.00 
해리 파괴하기,,4,0.00 
기억의 잔상,,4,0.00 
익스트림 No.13 감독판,2013-01-08,4,0.00 
수호지태극영웅-소이광,2013-03-13,4,0.00 
잡초,,4,0.00 
이센셜 킬링,,4,0.00 
타이밍,,4,0.00 
박스홈,,4,0.00 
행복엄마의 오디세이,,4,0.00 
전망 좋은 방-맛있는 섹스,2012-12-19,4,0.00 
일반적으로,,4,0.00 
외침과 속삭임,,4,0.00 
카바라의 밤,,4,0.00 
크룰릭,,4,0.00 
질식,,4,0.00 
미자,,4,0.00 
캠퍼스의 봄,,4,0.00 
백치,,4,0.00 
라잇 온 미,2012-11-01,4,0.00 
이탈리아 횡단밴드,2012-09-20,4,0.00 
오징어와 복면,,4,0.00 
그녀의 단속반,,4,0.00 
소년과 양,,4,0.00 
더티혜리,,4,0.00 
오 윌리…,,4,0.00 
롱 폴링,2012-10-25,4,0.00 
"안녕, 엄마",,4,0.00 
너 때문에,,4,0.00 
"수다, 수다, 수다…",,4,0.00 
홈 스윗 홈,,4,0.00 
연인의 방,,4,0.00 
아빠의 이상한 식성,,4,0.00 
후라이드 그린 토마토,1992-12-12,4,0.00 
사랑의 여왕,2012-04-12,4,0.00 
철의 여인,2012-02-23,4,0.00 
붉은 수염,,4,0.00 
거미의 성,,4,0.00 
숨은 요새의 세 악인,,4,0.00 
츠바키 산주로,,4,0.00 
요짐보,,4,0.00 
옥탑방열기,,4,0.00 
깃발없는 기수,1980-09-04,4,0.00 
청이,,4,0.00 
내 아내의 모든 것,2012-05-17,4,0.00 
르 아브르,2011-12-08,4,0.00 
마당을 나온 암탉,2011-07-28,4,0.00 
더 재즈 쿼텟,,4,0.00 
다마스,,4,0.00 
서울유람,,4,0.00 
오징어,,4,0.00 
자기소개,,4,0.00 
강철유리,,4,0.00 
섹스킹,,4,0.00 
자네 아내와 여행을 가고 싶네,,4,0.00 
월동준비,,4,0.00 
난 널 알아,,4,0.00 
백 번째 오디션,,4,0.00 
대회전,,4,0.00 
썬크림,,4,0.00 
해독제는 없다,,4,0.00 
辛 소림사 주방장 2,,4,0.00 
시나리오 가이드,,4,0.00 
신세기 낭만시대,,4,0.00 
파편,,4,0.00 
내가 기억하는 것,,4,0.00 
벌레,,4,0.00 
셀프헤어컷,,4,0.00 
검지손가락,,4,0.00 
브룩클린 브라더스,2014-01-09,4,0.00 
신의 전사들,,4,0.00 
로스트 인 타일랜드,,4,0.00 
브레이크 블레이드3: 운명의 장난,2013-06-19,4,0.00 
천국과 지옥,,4,0.00 
선,,4,0.00 
몽구스피킹,,4,0.00 
영웅본색,1987-05-23,4,0.00 
달세계여행,,4,0.00 
블랙피쉬,,4,0.00 
톤레삽강은 멈추지 않는다,,4,0.00 
포화상태,,4,0.00 
수비니어 애니메이션,,4,0.00 
깍아버려,,4,0.00 
이상,,4,0.00 
유주얼 서스펙트,1996-01-27,4,0.00 
도너 패스,2013-03-20,4,0.00 
자리,,4,0.00 
방콕 아드레날린,,4,0.00 
프렌치 캉캉,,4,0.00 
그림자,,4,0.00 
어둠 속에서,,4,0.00 
