"영화명","감독","제작사","수입사","배급사","개봉일","개봉월","국적","전국스크린수","전국관객수","장르","등급","배우1","배우2","배우3","별점","감독점수","제작사점수","수입사점수","배우1점수","배우2점수","배우3점수"
"레지던트","안티조키넨","","(주)쇼박스,(주)케이앤엔터테인먼트","(주)쇼박스","2011-06-02",6,"3국",200,66216,"스릴러","청소년관람불가","힐러리스웽크","제프리딘모건","크리스토퍼리",6.94,66216,762553.945321993,66216,41794,725865.5,66216
"유아낫유","조지C.울프","","모비딕엔터테인먼트(주)","(주)마인스엔터테인먼트","2015-01-21",1,"미국",103,17372,"드라마","15세이상관람가","힐러리스웽크","에미로섬","조쉬더하멜",8.73,17372,762553.945321993,17372,41794,17372,2641323
"제로포커스","이누도잇신","","거원시네마(주)","씨제이엔터테인먼트","2010-03-25",3,"3국",76,12260,"드라마","15세이상관람가","히로스에료코","나카타니미키","키무라타에",6.92,12260,762553.945321993,12260,12260,12260,12260
"원피스극장판:스트롱월드","사카이무네히사","도에이애니메이션컴퍼니","투니버스(주)온미디어","투니버스(주)온미디어","2010-02-11",2,"3국",76,145751,"애니메이션","전체관람가","히라타히로아키","쵸","",8.87,145751,145751,131371.5,145751,145751,957932.33604336
"페어리테일:봉황의무녀","후지모리마사야","","(주)머스트씨무비","(주)나이너스엔터테인먼트","2013-02-28",2,"3국",50,11830,"애니메이션","전체관람가","히라노아야","카키하라테츠야","",8.9,35602,762553.945321993,24471,11830,11830,957932.33604336
"데스노트:더뉴월드","사토신스케","","(주)엔케이컨텐츠","(주)디스테이션","2017-03-29",3,"3국",309,28723,"범죄","15세이상관람가","히가시데마사히로","이케마츠소스케","토다에리카",5.03,28723,762553.945321993,119787.75,28723,28723,28723
"레미제라블","톰후퍼","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2012-12-19",12,"미국",696,5911890,"드라마","12세이상관람가","휴잭맨","앤해서웨이","러셀크로우",8.34,3359069,762553.945321993,778770.556521739,1873233.25,3416053.14285714,2985297
"더울버린","제임스맨골드","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2013-07-25",7,"미국",707,1075333,"액션","15세이상관람가","휴잭맨","","",6.13,1809202.66666667,762553.945321993,1276741.5375,1873233.25,726970.612244898,957932.33604336
"채피","닐블롬캠프","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2015-03-12",3,"미국",536,573657,"액션","15세이상관람가","휴잭맨","샬토코플리","시고니위버",7.76,890694.5,762553.945321993,778770.556521739,1873233.25,573657,217212
"프리즈너스","드니빌뇌브","","판씨네마(주)","(주)넥스트엔터테인먼트월드(NEW),판씨네마(주)","2013-10-02",10,"미국",297,186460,"범죄","청소년관람불가","휴잭맨","제이크질렌할","",8.09,378933.333333333,762553.945321993,625486.15,1873233.25,186460,957932.33604336
"팬","조라이트","","워너브러더스코리아(주)","워너브러더스코리아(주)","2015-10-08",10,"미국",428,185960,"판타지","전체관람가","휴잭맨","가렛헤드룬드","루니마라",8.5,144029.75,762553.945321993,1399135.08641975,1873233.25,275014,162550
"로건","제임스맨골드","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2017-03-01",3,"미국",954,2070084,"액션","청소년관람불가","휴잭맨","","",9.05,1809202.66666667,762553.945321993,1276741.5375,1873233.25,726970.612244898,957932.33604336
"리얼스틸","숀레비","","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2011-10-12",10,"미국",603,3579666,"액션","12세이상관람가","휴잭맨","에반젤린릴리","다코타고요",9.06,2340672,762553.945321993,1153290.7804878,1873233.25,3952579.66666667,3579666
"위대한쇼맨","마이클그레이시","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2017-12-20",12,"미국",702,1402816,"드라마","12세이상관람가","휴잭맨","미셸윌리엄스","잭에프론",9.37,1402816,762553.945321993,1276741.5375,1873233.25,1402816,1402816
"들어는봤니?모건부부","마크로렌스","콜럼비아픽쳐스코포레이션","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2010-01-28",1,"미국",163,115454,"코미디","15세이상관람가","휴그랜트","사라제시카파커","",6.64,115454,824814,1153290.7804878,115454,115454,957932.33604336
"가디언의전설","잭스나이더","워너브러더스픽쳐스","워너브러더스코리아(주)","워너브러더스코리아(주)","2010-10-28",10,"미국",268,307217,"애니메이션","전체관람가","휴고위빙","짐스터게스","라이언콴튼",8.07,1337869.8,824116,1399135.08641975,1294980.5,196007,261083
"호빗:스마우그의폐허","피터잭슨","","워너브러더스코리아(주)","워너브러더스코리아(주)","2013-12-12",12,"미국",811,2282744,"어드벤처","12세이상관람가","휴고위빙","마틴프리먼","루크에반스",8.48,1177727.57142857,762553.945321993,1399135.08641975,1294980.5,1780819,2482859
"극장판암살교실:365일의시간","키시세이지","","애니맥스브로드캐스팅코리아","(주)박수엔터테인먼트","2017-03-23",3,"3국",98,28364,"애니메이션","12세이상관람가","후쿠야마쥰","스기타토모카즈","이토시즈카",8.47,28364,762553.945321993,28364,28364,28364,28364
"걸즈앤판처극장판","미즈시마츠토무","","(주)머스트씨무비릴리징컴퍼니","(주)머스트씨무비릴리징컴퍼니","2016-08-25",8,"3국",57,28121,"애니메이션","12세이상관람가","후치가미마이","카야노아이","",8.89,28121,762553.945321993,20227.6666666667,28121,25264,957932.33604336
"극장판파워레인저엔진포스VS와일드스피릿","모로타사토시","","대원미디어(주)","씨제이엔터테인먼트","2010-01-07",1,"3국",125,137690,"SF","전체관람가","후루하라야스히사","카타오카신와","아이자와리나",7.29,137690,762553.945321993,168973.310344828,137690,137690,137690
"모비딕","박인제","(주)쇼박스,(주)팔레트픽처스","","(주)쇼박스","2011-06-09",6,"한국",377,428139,"스릴러","15세이상관람가","황정민","진구","김민희",7.23,895386.5,428139,1677501.34942085,5824407.27272727,1484094.4,428139
"남자가사랑할때","한동욱","(주)사나이픽처스,필름트레인","","(주)넥스트엔터테인먼트월드(NEW)","2014-01-22",1,"한국",531,1979311,"멜로/로맨스","15세이상관람가","황정민","한혜진","",8.65,1979311,1979311,1677501.34942085,5824407.27272727,2471380,957932.33604336
"군함도","류승완","(주)외유내강,(주)필름케이","","씨제이이앤엠(주)","2017-07-26",7,"한국",2027,6592151,"액션","15세이상관람가","황정민","소지섭","송중기",5.28,7480046.5,9993775.5,1677501.34942085,5824407.27272727,6592151,6592151
"구르믈버서난달처럼","이준익","(주)영화사아침,(주)타이거픽쳐스","","에스케이텔레콤(주)","2010-04-28",4,"한국",509,1407681,"사극","15세이상관람가","황정민","차승원","한지혜",6.86,2290885.71428571,1108456.66666667,1677501.34942085,5824407.27272727,1407681,1407681
"전설의주먹","강우석","(주)시네마서비스","","씨제이이앤엠(주)","2013-04-10",4,"한국",724,1737253,"드라마","청소년관람불가","황정민","유준상","이요원",7.6,2001172.75,1331939.75,1677501.34942085,5824407.27272727,1687968.75,1737253
"검사외전","이일형","(주)영화사월광,(주)사나이픽처스","","(주)쇼박스","2016-02-03",2,"한국",1812,9699092,"범죄","15세이상관람가","황정민","강동원","",7.94,9699092,6135291.5,1677501.34942085,5824407.27272727,6514515.8,957932.33604336
"히말라야","이석훈","(주)제이케이필름","","씨제이이앤엠(주)","2015-12-16",12,"한국",1009,7759473,"드라마","12세이상관람가","황정민","정우","",7.98,6821259,5414008.5,1677501.34942085,5824407.27272727,7759473,957932.33604336
"부당거래","류승완","필름트레인,(주)외유내강","","씨제이엔터테인먼트","2010-10-28",10,"한국",502,2766436,"범죄","청소년관람불가","황정민","류승범","유해진",8.67,7480046.5,2766436,1677501.34942085,5824407.27272727,1983084.25,5324328.14285714
"댄싱퀸","이석훈","(주)제이케이필름,씨제이이앤엠(주)","","씨제이이앤엠(주)","2012-01-18",1,"한국",534,4057546,"코미디","12세이상관람가","황정민","엄정화","",8.88,6821259,5083731.5,1677501.34942085,5824407.27272727,4057546,957932.33604336
"베테랑","류승완","(주)외유내강,(주)필름케이","","씨제이이앤엠(주)","2015-08-05",8,"한국",1064,13395400,"액션","15세이상관람가","황정민","유아인","유해진",9.01,7480046.5,9993775.5,1677501.34942085,5824407.27272727,8317586.33333333,5324328.14285714
"국제시장","윤제균","(주)제이케이필름,씨제이이앤엠(주)","","씨제이이앤엠(주)","2014-12-17",12,"한국",966,14245998,"드라마","12세이상관람가","황정민","김윤진","오달수",9.01,14245998,5083731.5,1677501.34942085,5824407.27272727,14245998,5454382.71428571
"주문진","하명중","(주)하명중영화제작소","","롯데쇼핑㈜롯데엔터테인먼트","2010-01-21",1,"한국",93,67167,"드라마","12세이상관람가","황보라","김기범","",6.93,67167,67167,1677501.34942085,67167,67167,957932.33604336
"역린","이재규","굿초이스컷픽쳐스(주),(주)파파스필름","","롯데쇼핑㈜롯데엔터테인먼트","2014-04-30",4,"한국",1054,3849433,"사극","15세이상관람가","현빈","정재영","조정석",7.06,3849433,3849433,1677501.34942085,4132330.75,3849433,2041322
"만추","김태용","(주)에스씨에스엔터테인먼트","","씨제이엔터테인먼트","2011-02-17",2,"한국",444,844103,"멜로/로맨스","15세이상관람가","현빈","탕웨이","",7.29,844103,844103,1677501.34942085,4132330.75,844103,957932.33604336
"꾼","장창원","(주)영화사두둥","","(주)쇼박스","2017-11-22",11,"한국",1314,4018341,"범죄","15세이상관람가","현빈","유지태","배성우",7.65,4018341,4018341,1677501.34942085,4132330.75,2623507,3642786.66666667
"공조","김성훈","(주)제이케이필름,씨제이이앤엠(주),영화사이창,(주)에이치비엔터테인먼트","","씨제이이앤엠(주)","2017-01-18",1,"한국",976,7817446,"액션","15세이상관람가","현빈","유해진","김주혁",8.27,4642457.75,7817446,1677501.34942085,4132330.75,2543912.4,3466691.75
"위자:저주의시작","마이크플래너건","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2016-11-09",11,"미국",467,331877,"공포(호러)","12세이상관람가","헨리토마스","엘리자베스리저","애너리즈바쏘",7.2,305682.5,762553.945321993,778770.556521739,331877,331877,331877
"신들의전쟁","타셈싱","","(주)넥스트엔터테인먼트월드(NEW)","(주)넥스트엔터테인먼트월드(NEW)","2011-11-10",11,"미국",525,1338411,"드라마","청소년관람불가","헨리카빌","미키루크","프리다핀토",6.41,675229.333333333,762553.945321993,467596.5,948099.25,1338411,2056102.5
"콜드라잇오브데이","마브룩엘메크리","","씨너스엔터테인먼트(주)","씨너스엔터테인먼트(주)","2012-05-17",5,"미국",245,88522,"액션","15세이상관람가","헨리카빌","브루스윌리스","시고니위버",6.25,88522,762553.945321993,74972.5,948099.25,1221059.66666667,217212
"배트맨대슈퍼맨:저스티스의시작","잭스나이더","","워너브러더스코리아(주)","워너브러더스코리아(주)","2016-03-24",3,"미국",1709,2256913,"액션","12세이상관람가","헨리카빌","벤애플렉","에이미아담스",6.86,1337869.8,762553.945321993,1399135.08641975,948099.25,2256913,2256913
"맨프롬UNCLE","가이리치","","워너브러더스코리아(주)","워너브러더스코리아(주)","2015-10-28",10,"미국",361,108551,"액션","12세이상관람가","헨리카빌","아미해머","휴그랜트",8.16,920183.333333333,762553.945321993,1399135.08641975,948099.25,108551,108551
"쓰리데이즈투킬","맥지","","(유)조이앤컨텐츠그룹","롯데쇼핑㈜롯데엔터테인먼트","2014-04-03",4,"미국",388,228539,"액션","15세이상관람가","헤일리스테인펠드","엠버허드","케빈코스트너",7.35,550967.5,762553.945321993,141668.448275862,228539,129380,278065
"빨간모자의진실2","마이크디사","","㈜코리아스크린","(주)화앤담이엔티","2011-07-13",7,"미국",287,155798,"애니메이션","전체관람가","헤이든파네티어","에이미포엘러","빌헤이더",6.35,155798,762553.945321993,187416.944444444,155798,155798,155798
"베니싱","브래드앤더슨","","(주)누리픽쳐스","(주)넥스트엔터테인먼트월드(NEW)","2011-03-31",3,"미국",181,73582,"미스터리","12세이상관람가","헤이든크리스텐슨","탠디뉴튼","존레귀자모",5.95,81267.5,762553.945321993,290979.484848485,73582,73582,73582
"엔더스게임","개빈후드","","데이지엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","2013-12-31",12,"미국",460,654212,"SF","12세이상관람가","해리슨포드","에이사버터필드","헤일리스테인펠드",7.15,334735,762553.945321993,457299.074074074,1964045.5,357366,654212
"스타워즈:깨어난포스","J.J.에이브럼스","","월트디즈니컴퍼니코리아(주)","월트디즈니컴퍼니코리아(주)","2015-12-17",12,"미국",940,3273879,"액션","12세이상관람가","해리슨포드","마크해밀","캐리피셔",7.76,1783756,762553.945321993,3043537.52941176,1964045.5,2116728.5,3273879
"뷰티인사이드","백","(주)용필름","","(주)넥스트엔터테인먼트월드(NEW)","2015-08-20",8,"한국",648,2053947,"판타지","12세이상관람가","한효주","김대명","도지한",7.73,2053947,2941744.6,1677501.34942085,1269515,2053947,2053947
"해어화","박흥식","더램프(주)","","롯데쇼핑㈜롯데엔터테인먼트","2016-04-13",4,"한국",572,485083,"사극","15세이상관람가","한효주","유연석","천우희",7.99,458196.5,6292527,1677501.34942085,1269515,753895.25,656500.5
"이웃집스타","김성욱","(주)컬처캡코리아","","(주)스톰픽쳐스코리아","2017-09-21",9,"한국",256,10854,"코미디","12세이상관람가","한채영","진지희","",6.04,10854,10854,1677501.34942085,10854,42809.5,957932.33604336
"히트","이성한","(주)부영엔터테인먼트","","(주)넥스트엔터테인먼트월드(NEW)","2011-10-13",10,"한국",171,109019,"드라마","15세이상관람가","한재석","송영창","정성화",3.58,109019,109019,1677501.34942085,109019,109019,269080
"기생령","고석진","(주)코어콘텐츠미디어,(주)이스트스카이필름","","롯데쇼핑㈜롯데엔터테인먼트","2011-08-05",8,"한국",207,96077,"공포(호러)","청소년관람불가","한은정","이형석","효민",4.33,96077,96077,1677501.34942085,96077,96077,96077
"티끌모아로맨스","김정환","(주)아이에이치큐,㈜인디스토리","","필라멘트픽쳐스","2011-11-10",11,"한국",294,424002,"멜로/로맨스","15세이상관람가","한예슬","송중기","",7.5,424002,424002,1677501.34942085,424002,424002,957932.33604336
"프리즌","나현","(주)큐로홀딩스","","(주)쇼박스","2017-03-23",3,"한국",1047,2931897,"범죄","청소년관람불가","한석규","김래원","강신일",7.59,2931897,2931897,1677501.34942085,1510292.5,2562034.5,2409998.5
"상의원","이원석","(주)영화사비단길,상의원문화산업전문(유)","","(주)쇼박스,(주)와우픽쳐스","2014-12-24",12,"한국",466,790158,"사극","15세이상관람가","한석규","고수","박신혜",7.82,648707.5,790158,1677501.34942085,1510292.5,1938681.25,1886090
"이층의악당","손재곤","(유)이층의악당문화산업전문회사","","(주)싸이더스","2010-11-24",11,"한국",384,605224,"코미디","15세이상관람가","한석규","김혜수","",8.02,605224,605224,1677501.34942085,1510292.5,6794277,957932.33604336
"파파로티","윤종찬","케이엠컬쳐㈜","","(주)쇼박스","2013-03-14",3,"한국",552,1713891,"드라마","15세이상관람가","한석규","이제훈","오달수",8.24,1713891,1208457.5,1677501.34942085,1510292.5,2497067,5454382.71428571
"7광구","김지훈","(주)제이케이필름,씨제이이앤엠(주)","","씨제이이앤엠(주)","2011-08-04",8,"한국",812,2232179,"SF","15세이상관람가","하지원","안성기","오지호",3.35,3706596.5,5083731.5,1677501.34942085,1154404,1349938,2232179
"조선미녀삼총사","박제현","(주)웰메이드필름","","(주)쇼박스","2014-01-29",1,"한국",388,480361,"코미디","12세이상관람가","하지원","강예원","가인",4.04,480361,480361,1677501.34942085,1154404,1275545,480361
"목숨건연애","송민규","(주)비에이엔터테인먼트","","오퍼스픽쳐스","2016-12-14",12,"한국",393,47684,"멜로/로맨스","15세이상관람가","하지원","천정명","진백림",4.32,47684,1209175.33333333,1677501.34942085,1154404,150079.5,47684
"코리아","문현성","(주)더타워픽쳐스,씨제이이앤엠(주),(주)웰메이드스타엠","","씨제이이앤엠(주)","2012-05-03",5,"한국",537,1857392,"드라마","12세이상관람가","하지원","배두나","",8.54,1745897.5,1857392,1677501.34942085,1154404,4487992,957932.33604336
"베를린","류승완","(주)외유내강,씨제이이앤엠(주)","","씨제이이앤엠(주)","2013-01-30",1,"한국",894,7166199,"액션","15세이상관람가","하정우","한석규","류승범",7.81,7480046.5,7166199,1677501.34942085,5144011.33333333,7166199,7166199
"러브픽션","전계수","(주)삼거리픽쳐스,(주)판타지오","","(주)넥스트엔터테인먼트월드(NEW)","2012-02-29",2,"한국",617,1726202,"멜로/로맨스","15세이상관람가","하정우","공효진","",6.68,1726202,3194512,1677501.34942085,5144011.33333333,1076862.33333333,957932.33604336
"군도:민란의시대","윤종빈","(주)영화사월광,(주)쇼박스","","(주)쇼박스","2014-07-23",7,"한국",1394,4774895,"사극","15세이상관람가","하정우","강동원","",6.92,4742674.5,4774895,1677501.34942085,5144011.33333333,6514515.8,957932.33604336
"허삼관","하정우","(주)두타연,(주)판타지오픽쳐스","","(주)넥스트엔터테인먼트월드(NEW)","2015-01-14",1,"한국",621,955175,"드라마","12세이상관람가","하정우","하지원","",7.5,612661.5,955175,1677501.34942085,5144011.33333333,955175,957932.33604336
"황해","나홍진","㈜팝콘필름","","(주)쇼박스,이십세기폭스코리아(주)","2010-12-22",12,"한국",618,2167426,"스릴러","청소년관람불가","하정우","김윤석","조성하",7.82,4522845,2167426,1677501.34942085,5144011.33333333,2568268,2911295
"신과함께-죄와벌","김용화","리얼라이즈픽쳐스(주),(주)덱스터스튜디오","","롯데쇼핑㈜롯데엔터테인먼트","2017-12-20",12,"한국",1912,14410931,"판타지","12세이상관람가","하정우","차태현","주지훈",7.85,7869910.5,14410931,1677501.34942085,5144011.33333333,14410931,8502479.5
"의뢰인","손영성","청년필름(주)","","(주)쇼박스","2011-09-29",9,"한국",522,2393086,"스릴러","15세이상관람가","하정우","박희순","장혁",8.03,2393086,2697813.2,1677501.34942085,5144011.33333333,1660958.75,2393086
"더테러라이브","김병우","(주)씨네이천","","롯데쇼핑㈜롯데엔터테인먼트","2013-07-31",7,"한국",743,5583596,"범죄","15세이상관람가","하정우","이경영","전혜진",8.27,5583596,2467315.66666667,1677501.34942085,5144011.33333333,5583596,5583596
"터널","김성훈","(주)어나더썬데이,(주)비에이엔터테인먼트","","(주)쇼박스","2016-08-10",8,"한국",1105,7118592,"드라마","12세이상관람가","하정우","배두나","오달수",8.37,4642457.75,7118592,1677501.34942085,5144011.33333333,4487992,5454382.71428571
"동쪽의에덴극장판①더킹오브에덴","카미야마켄지","아스믹에이스엔터테인먼트,프로덕션I.G.","애니박스엔터테인먼트","애니박스엔터테인먼트","2010-01-28",1,"3국",53,12460,"애니메이션","전체관람가","하야미사오리","이지영","에구치타쿠야",8.55,12460,12460,51895.1666666667,12460,12460,12460
"노벰버맨","로저도널드슨","","㈜코리아스크린","롯데쇼핑㈜롯데엔터테인먼트","2014-10-16",10,"미국",395,252444,"액션","15세이상관람가","피어스브로스넌","올가쿠릴렌코","루크브레이시",7.47,148495,762553.945321993,187416.944444444,252444,252444,252444
"아더와미니모이3:두세계의전쟁","뤽베송","","(주)영화사오원","(주)라이크콘텐츠","2015-11-05",11,"3국",267,61046,"애니메이션","전체관람가","프레디하이모어","페니밸포어","셀레나고메즈",7.6,639466.25,762553.945321993,38648.25,61046,61046,61046
"가필드펫포스3D","마크A.Z.디페","","(주)미디어데이","(주)화앤담이엔티","2011-01-27",1,"미국",69,36420,"애니메이션","전체관람가","프랭크웰커","","",6.37,36420,762553.945321993,36420,36420,726970.612244898,957932.33604336
"더퍼지:거리의반란","제임스드모나코","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2014-08-27",8,"미국",204,59881,"공포(호러)","청소년관람불가","프랭크그릴로","채드모건","마이클K.윌리엄즈",7.06,98503.5,762553.945321993,778770.556521739,59881,59881,59881
"쓰리빌보드","마틴맥도나","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2018-03-15",3,"미국",110,97079,"코미디","15세이상관람가","프란시스맥도맨드","우디해럴슨","샘록웰",8.88,97079,762553.945321993,1276741.5375,97079,753927.666666667,97079
"브릭맨션:통제불능범죄구역","카밀들라마레","","주식회사디앤시엔터테인먼트","씨네그루(주)다우기술","2014-08-27",8,"3국",287,74912,"액션","15세이상관람가","폴워커","데이비드벨","르자",6.89,118078.5,762553.945321993,724392.5,74912,74912,74912
"프리스트","스콧찰스스튜어트","","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2011-06-09",6,"미국",228,93336,"액션","15세이상관람가","폴베타니","매기큐","",6.08,93336,762553.945321993,1153290.7804878,93336,93336,957932.33604336
"앤트맨","페이튼리드","","월트디즈니컴퍼니코리아(주)","월트디즈니컴퍼니코리아(주)","2015-09-03",9,"미국",949,2839921,"액션","12세이상관람가","폴러드","에반젤린릴리","마이클더글라스",8.66,4139036.5,762553.945321993,3043537.52941176,4139036.5,3952579.66666667,4139036.5
"앤트맨과와스프","페이튼리드","","월트디즈니컴퍼니코리아유한책임회사","월트디즈니컴퍼니코리아유한책임회사","2018-07-04",7,"미국",1775,5438152,"액션","12세이상관람가","폴러드","에반젤린릴리","마이클더글라스",8.66,4139036.5,762553.945321993,3061112,4139036.5,3952579.66666667,4139036.5
"버틀러:대통령의집사","리다니엘스","","(주)넥스트엔터테인먼트월드(NEW)","(주)넥스트엔터테인먼트월드(NEW)","2013-11-28",11,"미국",182,126870,"드라마","15세이상관람가","포레스트휘태커","오프라윈프리","로빈윌리엄스",8.6,126870,762553.945321993,467596.5,126870,126870,126870
"사랑에대한모든것","제임스마쉬","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2014-12-10",12,"미국",399,278015,"멜로/로맨스","12세이상관람가","펠리시티존스","에디레드메인","에밀리왓슨",7.86,278015,762553.945321993,778770.556521739,648662,148701,278015
"로그원:스타워즈스토리","가렛에드워즈","","월트디즈니컴퍼니코리아유한책임회사","월트디즈니컴퍼니코리아유한책임회사","2016-12-28",12,"미국",907,1019309,"액션","12세이상관람가","펠리시티존스","디에고루나","매즈미켈슨",8.44,864521.5,762553.945321993,3061112,648662,1019309,1019309
"이별계약","오기환","씨제이이앤엠(주)","","씨제이이앤엠(주)","2013-06-20",6,"한국",63,17797,"멜로/로맨스","12세이상관람가","펑위옌","바이바이허","장경부",8.36,304461,17797,1677501.34942085,17797,17797,17797
"라스트엑소시즘","다니엘스탬","스트라이크엔터테인먼트","코리아코어컨텐츠","(주)시너지하우스(시너지)","2010-12-01",12,"미국",171,104936,"공포(호러)","15세이상관람가","패트릭파비언","애슐리벨","",6.85,104936,104936,76906.6666666667,104936,104936,957932.33604336
"인시디어스","제임스완","","㈜코리아스크린","(주)쇼박스","2012-09-13",9,"미국",178,50163,"공포(호러)","15세이상관람가","패트릭윌슨","로즈번","리워넬",6.85,1612887.6,762553.945321993,187416.944444444,50163,918115.333333333,50163
"13시간","마이클베이","","롯데쇼핑㈜롯데엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","2016-03-03",3,"미국",380,144827,"액션","15세이상관람가","파블로쉬레이버","존크래신스키","제임스뱃지데일",8.01,3960009,762553.945321993,1287987.86956522,144827,144827,144827
"옥자","봉준호","플랜비엔터테인먼트,(주)루이스픽쳐스","","(주)넥스트엔터테인먼트월드(NEW)","2017-06-29",6,"미국",111,321550,"어드벤처","12세이상관람가","틸다스윈튼","폴다노","안서현",8.45,4618197.5,321550,1677501.34942085,321550,321550,321550
"크레이지","브렉에이즈너","오버츄어필름","데이지엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","2010-04-08",4,"미국",196,146377,"공포(호러)","청소년관람불가","티모시올리펀트","라다미첼","조앤더슨",7.25,134208,146377,457299.074074074,146377,146377,146377
"워크래프트:전쟁의서막","던칸존스","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2016-06-09",6,"미국",736,1163120,"액션","12세이상관람가","트래비스핌멜","벤포스터","토비켑벨",8.67,1220210.5,762553.945321993,778770.556521739,1163120,486669.666666667,1163120
"콩:스컬아일랜드","조던복트-로버츠","","워너브러더스코리아(주)","워너브러더스코리아(주)","2017-03-08",3,"미국",984,1685933,"액션","12세이상관람가","톰히들스턴","브리라슨","사무엘L.잭슨",7.78,1685933,762553.945321993,1399135.08641975,1685933,1685933,3905543.5
"로맨틱크라운","톰행크스","","판씨네마(주)","(주)싸이더스","2011-08-17",8,"미국",239,114887,"멜로/로맨스","12세이상관람가","톰행크스","줄리아로버츠","",6.99,114887,762553.945321993,625486.15,485005,68289.5,957932.33604336
"인페르노","론하워드","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2016-10-19",10,"미국",754,689071,"미스터리","15세이상관람가","톰행크스","펠리시티존스","오마사이",7.79,459098.5,762553.945321993,778770.556521739,485005,689071,437075.5
"스파이브릿지","스티븐스필버그","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2015-11-05",11,"미국",425,260721,"스릴러","12세이상관람가","톰행크스","마크라이런스","에이미라이언",8.39,615513.5,762553.945321993,1276741.5375,485005,260721,260721
"세이빙미스터뱅크스","존리행콕","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","2014-04-03",4,"미국",56,12831,"코미디","12세이상관람가","톰행크스","엠마톰슨","콜린파렐",8.48,12831,762553.945321993,1523331.67741935,485005,12831,1577156.66666667
"캡틴필립스","폴그린그래스","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","2013-10-23",10,"미국",302,241514,"액션","15세이상관람가","톰행크스","캐서린키너","바크하드압디",9.04,1153440.33333333,762553.945321993,1523331.67741935,485005,241514,241514
"설리:허드슨강의기적","클린트이스트우드","","워너브러더스코리아(주)","워너브러더스코리아(주)","2016-09-28",9,"미국",573,627102,"드라마","12세이상관람가","톰행크스","아론에크하트","로라리니",9.15,281016.5,762553.945321993,1399135.08641975,485005,319893.5,431154.5
"토이스토리3","리언크리치","픽사애니메이션스튜디오,월트디즈니애니메이션스튜디오","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2010-08-05",8,"미국",394,1484843,"가족","전체관람가","톰행크스","팀알렌","조안쿠삭",9.38,2497441.5,1484843,1153290.7804878,485005,1484843,1484843
"차일드44","다니엘에스피노사","","(주)누리픽쳐스","(주)넥스트엔터테인먼트월드(NEW)","2015-05-28",5,"미국",145,21604,"스릴러","청소년관람불가","톰하디","누미라파스","게리올드만",8.15,214918,762553.945321993,290979.484848485,1157448.16666667,19760,1865187.25
"팅커테일러솔저스파이","토마스알프레드슨","","(주)화인픽쳐스","팝엔터테인먼트","2012-02-09",2,"3국",187,87155,"스릴러","15세이상관람가","톰하디","게리올드만","베네딕트컴버배치",8.2,87155,762553.945321993,87155,1157448.16666667,942417.6,292579.5
"덩케르크","크리스토퍼놀란","","워너브러더스코리아(주)","워너브러더스코리아(주)","2017-07-20",7,"미국",1252,2792705,"액션","12세이상관람가","톰하디","킬리언머피","케네스브래너",8.29,6347496,762553.945321993,1399135.08641975,1157448.16666667,1217461.66666667,2792705
"매드맥스:분노의도로","조지밀러","","워너브러더스코리아(주)","워너브러더스코리아(주)","2015-05-14",5,"미국",799,3842441,"액션","15세이상관람가","톰하디","샤를리즈테론","니콜라스홀트",8.76,2013930.5,762553.945321993,1399135.08641975,1157448.16666667,1120243.75,3842441
"레전드","브라이언헬겔랜드","","(주)퍼스트런","(주)이수C&E","2015-12-10",12,"3국",449,180082,"액션","청소년관람불가","톰하디","태런에저튼","에밀리브라우닝",7.04,180082,762553.945321993,153442,1157448.16666667,3152618,180082
