"영화명","감독","제작사","수입사","배급사","개봉일","개봉월","국적","전국스크린수","전국관객수","장르","등급","배우1","배우2","배우3","별점","감독점수","제작사점수","수입사점수","배우1점수","배우2점수","배우3점수"
"아메리칸스나이퍼","클린트이스트우드","","워너브러더스코리아(주)","워너브러더스코리아(주)","2015-01-14",1,"미국",308,344766,"액션","청소년관람불가","브래들리쿠퍼","시에나밀러","제이크맥더맨",8.67,281016.5,762553.945321993,1399135.08641975,177702,264923,344766
"월드워Z","마크포스터","플랜비엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","2013-06-20",6,"미국",964,5237525,"드라마","15세이상관람가","브래드피트","미레유에노스","",8.2,2632082.5,5237525,1287987.86956522,1641257.6,5237525,957932.33604336
"머니볼","베넷밀러","","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2011-11-17",11,"미국",385,641099,"드라마","12세이상관람가","브래드피트","","",8.3,641099,762553.945321993,1153290.7804878,1641257.6,726970.612244898,957932.33604336
"빅쇼트","아담맥케이","","롯데쇼핑㈜롯데엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","2016-01-21",1,"미국",489,446664,"드라마","청소년관람불가","브래드피트","크리스찬베일","라이언고슬링",8.46,446664,762553.945321993,1287987.86956522,1641257.6,446664,446664
"퓨리","데이비드에이어","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","2014-11-20",11,"미국",590,1362114,"액션","15세이상관람가","브래드피트","로건레먼","샤이아라보프",8.65,1090406.66666667,762553.945321993,1523331.67741935,1641257.6,1009839,1362114
"얼라이드","로버트저메키스","","롯데쇼핑㈜롯데엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","2017-01-11",1,"미국",546,518886,"스릴러","15세이상관람가","브래드피트","마리옹꼬띠아르","리지캐플란",8.85,259211.333333333,762553.945321993,1287987.86956522,1641257.6,437399.5,518886
"겟아웃","조던필레","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2017-05-17",5,"미국",945,2138146,"공포(호러)","15세이상관람가","브래드리휘트포드","앨리슨윌리암스","캐서린키너",8.24,2138146,762553.945321993,778770.556521739,2138146,2138146,2138146
"개들의섬","웨스앤더슨","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2018-06-21",6,"미국",121,32587,"코미디","12세이상관람가","브라이언크랜스톤","틸다스윈튼","빌머레이",8.53,32587,762553.945321993,1276741.5375,32587,2739483,32587
"피터와드래곤","데이빗로워리","","월트디즈니컴퍼니코리아(주)","월트디즈니컴퍼니코리아(주)","2016-09-28",9,"미국",167,109137,"어드벤처","전체관람가","브라이스달라스하워드","로버트레드포드","웨스벤틀리",8.25,109137,762553.945321993,3043537.52941176,109137,109137,109137
"아티스트봉만대","봉만대","골든타이드픽처스(주)","","씨너스엔터테인먼트(주)","2013-08-29",8,"한국",131,14188,"코미디","청소년관람불가","봉만대","곽현화","성은",7.73,14188,17984.25,1677501.34942085,14188,14188,14188
"줄리아의눈","기옘모랄레스","","(주)더블앤조이픽쳐스","씨너스엔터테인먼트(주)","2011-03-31",3,"3국",232,236359,"미스터리","청소년관람불가","벨렌루에다","루이스호마르","파블로데르키",7.92,236359,762553.945321993,162031.4,236359,236359,236359
"개구리왕국","넬슨신","","예지림엔터테인먼트","예지림엔터테인먼트","2015-11-12",11,"3국",227,53576,"애니메이션","전체관람가","벨라손","카메론달라스","롭슈나이더",7,53576,762553.945321993,53576,53576,53576,53576
"링컨:뱀파이어헌터","티무르베크맘베토브","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2012-08-30",8,"미국",337,344876,"액션","청소년관람불가","벤자민워커","도미닉쿠퍼","루퍼스스웰",6.78,872323.5,762553.945321993,1276741.5375,344876,344876,344876
"코코","리언크리치","","월트디즈니컴퍼니코리아유한책임회사","월트디즈니컴퍼니코리아유한책임회사","2018-01-11",1,"미국",1177,3510040,"애니메이션","전체관람가","벤자민브랫","가엘가르시아베르날","안소니곤잘레스",9.24,2497441.5,762553.945321993,3061112,3510040,3510040,3510040
"패딩턴","폴킹","","(주)누리픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","2015-01-07",1,"3국",408,305100,"코미디","전체관람가","벤위쇼","휴그랜트","샐리호킨스",9.1,305100,762553.945321993,290979.484848485,305100,305100,305100
"히든카드","브래드퍼맨","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2013-09-26",9,"미국",362,151476,"범죄","청소년관람불가","벤애플렉","젬마아터튼","저스틴팀버레이크",6.04,239544,762553.945321993,1276741.5375,788296.6,1077504.5,232803.333333333
"타운","벤애플렉","","워너브러더스코리아(주)","워너브러더스코리아(주)","2011-01-27",1,"미국",158,98866,"드라마","청소년관람불가","벤애플렉","존햄","레베카홀",7.41,119694,762553.945321993,1399135.08641975,788296.6,98866,112333
"저스티스리그","잭스나이더","","워너브러더스코리아(주)","워너브러더스코리아(주)","2017-11-15",11,"미국",1308,1786386,"액션","12세이상관람가","벤애플렉","헨리카빌","갤가돗",7.75,1337869.8,762553.945321993,1399135.08641975,788296.6,1786386,1786386
"아르고","벤애플렉","","워너브러더스코리아(주)","워너브러더스코리아(주)","2012-10-31",10,"미국",238,140522,"스릴러","15세이상관람가","벤애플렉","존굿맨","",8.18,119694,762553.945321993,1399135.08641975,788296.6,455854.333333333,957932.33604336
"나를찾아줘","데이빗핀처","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2014-10-23",10,"미국",658,1764233,"스릴러","청소년관람불가","벤애플렉","로자먼드파이크","",8.29,908469.333333333,762553.945321993,1276741.5375,788296.6,1274132,957932.33604336
"타워하이스트","브렛래트너","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2011-11-17",11,"미국",213,90840,"액션","12세이상관람가","벤스틸러","에디머피","",7.54,88684,762553.945321993,778770.556521739,940223.5,1176098,957932.33604336
"박물관이살아있다:비밀의무덤","숀레비","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2015-01-14",1,"미국",500,1101678,"어드벤처","전체관람가","벤스틸러","로빈윌리엄스","댄스티븐스",8.06,2340672,762553.945321993,1276741.5375,940223.5,1101678,1101678
"월터의상상은현실이된다","벤스틸러","","유니콘텐츠,주식회사레드아이스,이십세기폭스코리아(주)","글뫼주식회사,이십세기폭스코리아(주)","2013-12-31",12,"미국",378,941672,"어드벤처","12세이상관람가","벤스틸러","크리스틴위그","숀펜",8.67,941672,762553.945321993,941672,940223.5,941672,524558
"나니아연대기:새벽출정호의항해","마이클앱티드","이십세기폭스필름코퍼레이션","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2010-12-08",12,"미국",502,1182228,"판타지","전체관람가","벤반스","조지헨리","윌폴터",8.07,599107,820881.5,1276741.5375,1182228,1182228,1594704
"컨저링","제임스완","","워너브러더스코리아(주)","워너브러더스코리아(주)","2013-09-17",9,"미국",553,2262758,"공포(호러)","15세이상관람가","베라파미가","매켄지포이","패트릭윌슨",2.43,1612887.6,762553.945321993,1399135.08641975,2094479.5,2262758,2262758
"컨저링2","제임스완","","워너브러더스코리아(주)","워너브러더스코리아(주)","2016-06-09",6,"미국",635,1926201,"공포(호러)","15세이상관람가","베라파미가","패트릭윌슨","프란시스오코너",8.23,1612887.6,762553.945321993,1399135.08641975,2094479.5,1251979.5,1926201
"울프맨","조존스톤","유니버셜픽쳐스","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2010-02-11",2,"미국",266,270683,"공포(호러)","청소년관람불가","베니시오델토로","안소니홉킨스","에밀리블런트",4.75,392550,520606.8,778770.556521739,249444,209597.5,677930.8
"시카리오:데이오브솔다도","스테파노솔리마","","㈜코리아스크린","㈜코리아스크린","2018-06-27",6,"미국",261,228205,"액션","15세이상관람가","베니시오델토로","조슈브롤린","이사벨라모너",8.47,228205,762553.945321993,187416.944444444,249444,228205,228205
