,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우
1189,토마스와 친구들: 블루마운틴 미스터리,그렉 티어넌,,그린나래미디어(주),(주)팝엔터테인먼트,2013-10-17,영국,49,12054,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=토마스와 친구들: 블루마운틴 미스터리%09&section=all&ie=utf8,8.58,  애니메이션   미국 분     감독   그렉 티어난 출연   마이클 안젤리스  마이클 브랜든
1190,반창꼬,정기훈,(주)영화사오름,,(주)넥스트엔터테인먼트월드(NEW),2012-12-19,한국,466,2471721,멜로/로맨스,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=반창꼬%09&section=all&ie=utf8,8.58,  드라마  멜로로맨스   한국 분     감독   정기훈 출연   고수  한효주
1191,스머프: 비밀의 숲,캘리 애스버리,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-28,미국,607,427764,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=스머프: 비밀의 숲%09&section=all&ie=utf8,8.59,  애니메이션  가족   미국 분     감독   켈리 애스버리 출연   맨디 파틴킨  데미 로바토  레인 윌슨  조 맨가니엘로  잭 맥브레이어
1192,개구쟁이 스머프,라자 고스넬,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-08-11,미국,399,1027438,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=개구쟁이 스머프%09&section=all&ie=utf8,8.59,  애니메이션  가족   미국 분     감독   켈리 애스버리 출연   맨디 파틴킨  데미 로바토  레인 윌슨  조 맨가니엘로  잭 맥브레이어   애니메이션  가족  판타지   미국  벨기에 분     감독   라자 고스넬 출연   닐 패트릭 해리스  소피아 베르가라   애니메이션  가족   미국 분     감독   라자 고스넬 출연   크리스티나 리치  닐 패트릭 해리스  알란 커밍  행크 아자리아  케이티 페리  제이마 메이스    스무브  존 올리버  마이린 로비치  카롤리나 바르체  안톤 옐친   애니메이션   미국  벨기에 분     감독   조시 더틸리우  돈 러스크  레이 패터슨  존 러스트 출연   돈 메식  폴 윈첼  루실 블리스  베리 고든  프랭크 웰커
1193,몬스터 호텔 2,젠디 타타코브스키,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-12-24,미국,686,1515104,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=몬스터 호텔 2%09&section=all&ie=utf8,8.59,  애니메이션  코미디  가족   미국 분     감독   젠디 타타코브스키 출연   아담 샌들러  셀레나 고메즈  스티브 부세미  케빈 제임스
1194,라라랜드,다미엔 차젤레,,판씨네마(주),판씨네마(주),2016-12-07,미국,727,3595861,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=라라랜드%09&section=all&ie=utf8,8.59,  드라마  뮤지컬  멜로로맨스   미국 분     감독   데이미언 셔젤 출연   엠마 스톤  라이언 고슬링   다큐멘터리   영국 분     감독   스티브 리드  롭 알렉산더   코미디  드라마  멜로로맨스   미국 분     감독   캐스퍼 안드레아스 출연   매튜 루드윈스키  앨리슨 레인  마이클 메디코
1195,극장판 프랭키와 친구들: 생명의 나무,박정오,프랭키영화문화산업전문(주),,예지림엔터테인먼트,2016-04-13,한국,258,56835,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=극장판 프랭키와 친구들: 생명의 나무%09&section=all&ie=utf8,8.59,  애니메이션   한국 분     감독   박정오 출연   이소은  안영미  김민정  최승훈
1196,버틀러: 대통령의 집사,리 다니엘스,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2013-11-28,미국,182,126870,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=버틀러: 대통령의 집사%09&section=all&ie=utf8,8.6,  드라마   미국 분     감독   리 다니엘스 출연   포레스트 휘태커  오프라 윈프리  로빈 윌리엄스  앨런 릭먼  존 쿠삭  제인 폰다  레니 크라비츠  알렉스 페티퍼  데이빗 오예로워  머라이어 캐리  제임스 마스던
1197,헬프,테이트 테일러,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-03,미국,163,143738,드라마,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=헬프%09&section=all&ie=utf8,8.6,  공포     미국 분     감독   저스틴 린 출연   로렌 컴튼  성 강   드라마   미국 분     감독   테이트 테일러 출연   엠마 스톤  비올라 데이비스  옥타비아 스펜서  브라이스 달라스 하워드  제시카 차스테인   영국 분     감독   리처드 레스터 출연   존 레논  폴 매카트니  조지 해리슨  링고 스타   뮤지컬  멜로로맨스   영국 분     감독   스튜어트 머독 출연   에밀리 브라우닝  한나 머레이  올리 알렉산더   코미디  드라마   미국 분     감독   마이클  웨이트혼 출연   크리스 오도넬  제나 피셔  배역명   셀프헬프 보이스 영화명   프레리 러브   감독   더스티 비아스
1198,"안녕, 헤이즐",조쉬 분,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-08-13,미국,323,744387,드라마,12세이상관람가,"https://movie.naver.com/movie/search/result.nhn?query=안녕, 헤이즐%09&section=all&ie=utf8",8.6,  드라마  멜로로맨스   미국 분     감독   조쉬 분 출연   쉐일린 우들리  안셀 엘고트  냇 울프  윌렘 대포
1199,몬스터 호텔,젠디 타타코브스키,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-01-17,미국,489,884885,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=몬스터 호텔%09&section=all&ie=utf8,8.6,  애니메이션  코미디  가족  판타지   미국 분     감독   젠디 타타코브스키 출연   아담 샌들러  셀레나 고메즈   애니메이션  코미디  가족   미국 분     감독   젠디 타타코브스키 출연   아담 샌들러  셀레나 고메즈  스티브 부세미  케빈 제임스   애니메이션  가족  코미디  판타지   미국 분     감독   젠디 타타코브스키 출연   아담 샌들러  스티브 부세미  프란 드레셔  앤디 샘버그
1200,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,야쿠와 신노스케,,대원미디어(주),(주)이수C&E,2014-09-04,일본,277,166092,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~%09&section=all&ie=utf8,8.6,  애니메이션  모험   일본 분     감독   야쿠와 신노스케 출연   미즈타 와사비  오오하라 메구미  카카즈 유미  키무라 스바루  세키 토모카즈
1201,수상한 고객들,조진모,(주)메이스엔터테인먼트,,씨제이이앤엠(주),2011-04-14,한국,411,1059350,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=수상한 고객들%09&section=all&ie=utf8,8.6,  코미디  드라마   한국 분     감독   조진모 출연   류승범
1202,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,"(주)팔레트픽처스,(주)쇼박스",,(주)쇼박스,2012-02-02,한국,699,4710454,범죄,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=범죄와의 전쟁: 나쁜놈들 전성시대%09&section=all&ie=utf8,8.6,  범죄  드라마   한국 분     감독   윤종빈 출연   최민식  하정우
1203,리틀 맨하탄,마크 레빈,,(주)영화사 빅,(주)영화사 빅,2018-06-27,미국,142,11909,멜로/로맨스,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=리틀 맨하탄%09&section=all&ie=utf8,8.61,  멜로로맨스   미국 분     감독   마크 레빈 출연   조쉬 허처슨  찰리 레이
