,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우
0,저스티스,로저 도널드슨,,(주)쇼박스,(주)쇼박스,2012-03-15,미국,142,44546,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=저스티스%09&section=all&ie=utf8,7.07,  서부   미국 분     감독   리처드 가베이 출연   스티븐 랭  제이미 린 시글러  잭슨 라스본  나단 파슨스   드라마   필리핀 분     감독   조엘 라망간 출연   노라 아우놀   액션  드라마  스릴러   미국 분     감독   로저 도널드슨 출연   니콜라스 케이지  가이 피어스  재뉴어리 존스   네덜란드  브라질 분     감독   마리아 라모스   코미디  드라마   미국 분     감독   에번 오펜하이머 출연   에릭 팔라디노  마이클 제이 화이트  남   출생년도    관련영화   죽음의 영혼  비우  치티 치티 뱅 뱅  남   출생년도    관련영화   아일랜드 크로스  음악  빌런  음악  후퍼  음악  남   출생년도    관련영화   미스티  음악  남   출생년도    관련영화   골리어드 업라이징  포르노그래피  밀크  더 멘 넥스트 도어  편집  롤플레이  편집  더 디펜더스  편집  남   출생년도    관련영화   아메리칸 메이드  윈터요원역  하트 베이비  버스데이 케이크  배역명   저스티스영화명   스트리퍼  늑대인간   감독   조나단 글렌데닝  배역명   저스티스영화명   제이 앤 사일런트 밥   감독   케빈 스미스  배역명   저스티스 실리에영화명   락 오브 에이지   감독   아담 쉥크만  배역명   저스티스영화명   아메리칸 저스티스   감독   드미트리우스 나바로  배역명   저스티스 스트라우스영화명   레모니 스니켓의 위험한 대결   감독   브래드 실버링
1,히어애프터,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-03-24,미국,112,45755,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=히어애프터%09&section=all&ie=utf8,7.82,  애니메이션   포르투갈  헝가리 분     감독   나탈리아 아제베도 안드라지   드라마   폴란드  스웨덴  프랑스 분     감독   매그너스 본 혼 출연   율리크 먼더  매츠 브롬그렌   한국 분     감독   곽지혜   드라마  판타지   미국 분     감독   클린트 이스트우드 출연   맷 데이먼  세실 드 프랑스     스릴러   미국     감독   라이언 루이스  마이클 매니 출연   브랜든 리  린지 밸리치카
2,더 비지트,M. 나이트 샤말란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-10-15,미국,279,52197,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=더 비지트%09&section=all&ie=utf8,7.02,  드라마   미국 분     감독   로미나 슈베들러   스릴러  공포   미국 분     감독    나이트 샤말란 출연   에드 옥슨볼드  올리비아 데종   다큐멘터리   덴마크  오스트리아  아일랜드  핀란드  노르웨이 분     감독   마이클 매드슨   독일 분     감독   잔 솔다트   다큐멘터리   이집트  독일 분     감독   나디아 무니에  마로안 오마라
3,파더 앤 도터,가브리엘 무치노,,(주)에이블엔터테인먼트,(주)박수엔터테인먼트,2015-12-10,미국,352,58704,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=파더 앤 도터%09&section=all&ie=utf8,8.18,  가족   중국 분     감독   시에 청린   드라마   미국  이탈리아 분     감독   가브리엘 무치노 출연   아만다 사이프리드  아론 폴  러셀 크로우
4,라스트 스탠드,김지운,디 보나벤츄라 픽쳐스,데이지엔터테인먼트,씨제이이앤엠(주),2013-02-21,미국,300,66698,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=라스트 스탠드%09&section=all&ie=utf8,7.79,  미국 분     감독   줄리안 조단   액션   미국 분     감독   김지운 출연   아놀드 슈왈제네거  포레스트 휘태커  조니 녹스빌  로드리고 산토로  제이미 알렉산더   다큐멘터리   스웨덴 분     감독   피터 겔데헤그  텔 올린
5,베니싱,브래드 앤더슨,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2011-03-31,미국,181,73582,미스터리,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=베니싱%09&section=all&ie=utf8,5.95,  애니메이션   체코 분     감독   베로니카 블코바  잔 스라멕   공포  미스터리  스릴러   미국 분     감독   브래드 앤더슨 출연   헤이든 크리스텐슨  탠디 뉴튼  존 레귀자모   드라마  공포  미스터리  스릴러   미국 분     감독   조지 슬루이저 출연   제프 브리지스  키퍼 서덜랜드  낸시 트래비스   미스터리  스릴러   네덜란드  프랑스 분     감독   조지 슬루이저 출연   버나드 피에르 도나디우  기니 베르보에츠   다큐멘터리   미국     감독   조지 랭워시  마리암 헤인 출연   엘렌 페이지  에밀리아 폭스
6,더 콜,브래드 앤더슨,,(주)포커스엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2013-06-20,미국,241,88953,스릴러,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=더 콜%09&section=all&ie=utf8,8.35,  애니메이션   루마니아 분     감독   안카 다미안   드라마  스릴러   영국 분     감독   에단 자한   드라마   남아프리카 공화국 분     감독   자모 므콰나지   다큐멘터리   브라질 분     감독   구스타보 비나그레   범죄  스릴러   미국 분     감독   브래드 앤더슨 출연   아비게일 브레스린  할리 베리  모리스 체스트넛
7,마마,안드레스 무시에티,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-01-23,미국,164,91143,공포(호러),15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=마마%09&section=all&ie=utf8,7.78,  다큐멘터리   폴란드 분     감독   보이첵 코자키비치   다큐멘터리   중국 분     감독   진 싱젱   드라마   스페인  프랑스 분     감독   훌리오 메뎀 출연   페넬로페 크루즈  루이스 토사  에시어 엑센디아   드라마   한국 분     감독   고태욱 출연   안창현   드라마 분     감독   다빗 피르츠할라바  여   출생년도    관련영화   퍼픈스터프  남   관련영화   귀향  감독  여   관련영화   범프  감독각본프로듀서  배역명   마마 스튜디오 직원들영화명   뷰티 인사이드   감독   백종열  배역명   마마 여손님영화명   뷰티 인사이드   감독   백종열  배역명   마마영화명   마마   감독   안드레스 무시에티  배역명   마마 카츠자영화명   요코   감독   프란지스카 부흐  배역명   매트론 마마 모턴영화명   시카고   감독   롭 마샬
8,프리스트,스콧 찰스 스튜어트,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-06-09,미국,228,93336,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=프리스트%09&section=all&ie=utf8,6.08,  애니메이션  코미디   이탈리아 분     감독   아스투틸로 스메리올리아 출연   거글리엘모 파빌라  파브리지오 오데토   액션  공포    스릴러   미국 분     감독   스콧 찰스 스튜어트 출연   폴 베타니  매기 큐   드라마   영국 분     감독   안토니아 버드 출연   라이너스 로체  톰 윌킨슨  로버트 칼라일  캐시 타이슨  레슬리 샤프  로버트 퍼프   애니메이션   일본 분     감독   사카모토 유스케   코미디  드라마  멜로로맨스   미국 분     감독   존 포드 출연   윌 로저스  톰 브라운  남   출생년도    관련영화   나는 아직도 네가 지난 여름에 한 일을 알고 있다  타임 아웃   초창기  남   출생년도    관련영화   금지된 사랑  플롯 어게인스트 해리  플롯 어게인스트 해리    남   출생년도    관련영화   인크레더블   이지 컴 이지 고  아내는 요술쟁이  남   관련영화   프레스티지  원작  남   관련영화   사우스사이드  라인프로듀서  배역명   스트롱 프리스트영화명   프리스트   감독   스콧 찰스 스튜어트  배역명   조너선 프리스트데이빗 에서영화명   프랭클린   감독   제럴드 맥모로우  배역명   브라베 프리스트영화명   프리스트   감독   스콧 찰스 스튜어트  배역명   프리스트영화명   베스트 맨 다운   감독   테드 코랜드  배역명   프리스트영화명   프리스트   감독   스콧 찰스 스튜어트
9,라스트 나잇,마시 태지딘,,데이지엔터테인먼트,(주)싸이더스,2011-04-07,미국,243,119963,멜로/로맨스,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=라스트 나잇%09&section=all&ie=utf8,8.06,  드라마   프랑스 분     감독   프랑크 요피스 출연   레미 부테 드 몽벨  앙투안 피쇼  피에르 라로아   코미디   캐나다 분     감독   알렌 코노파키   멜로로맨스  드라마   미국  프랑스 분     감독   마시 태지딘 출연   키이라 나이틀리  샘 워싱턴   영국 분     감독   아비 반 월섬 출연   안소니 앤드류스  크리스챤 코울선   캐나다 분     감독   돈 맥켈러 출연   데이비드 크로넨버그  트레이시 라이트  주느비에브 뷔졸드  로버타 맥스웰  트렌트 맥멀렌  카렌 글레이브  재키 버로우즈
10,애프터 라이프,아그네츠카 보토위츠 보슬루,레쥬,(주)영화사아이비젼,(주)시너지하우스 (시너지),2010-09-02,미국,185,122963,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=애프터 라이프%09&section=all&ie=utf8,6.48,  다큐멘터리   미국 분     감독   퍽 로   다큐멘터리   뉴질랜드 분     감독   프리스카 부셰  닉 메요우   드라마   미국 분     감독   세바스티안 클레프   코미디  드라마  가족   헝가리 분     감독   비락 잠브로아츠   미스터리  스릴러  드라마   미국 분     감독   아그네츠카 보토위츠 보슬루 출연   크리스티나 리치  리암 니슨  저스틴 롱
11,파이터,데이빗 O. 러셀,,데이지엔터테인먼트,(주)시너지하우스 (시너지),2011-03-10,미국,263,136946,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=파이터%09&section=all&ie=utf8,8.86,  드라마   영국 분     감독   벅시 리버뱅크스틸   드라마   미국 분     감독   에리카 엥 출연   글렌던 채트먼   다큐멘터리   독일 분     감독   수잔 비닝어   액션   독일 분     감독   마이크 몰러 출연   마이크 몰러  폴크람 쥐쉐  올리버 주어스   드라마   미국 분     감독   데이비드  러셀 출연   마크 월버그  크리스찬 베일  남   관련영화    시간  러브  드럭스  제작  디파이언스  제작  마이애미 바이스  제작  배역명   파이터영화명   겟 썸    감독   마이클 제이 화이트  배역명   파이터영화명   비키니 워리어즈   감독   쿠즈야 나오유키  배역명   여자 파이터영화명   킬링 게임   감독   강용규  배역명   프리덤 파이터영화명   에어울프  시리즈   감독   버질  보글  서튼 롤리  앨런  레비  하비  레이드만  버나드  코왈스키  레이 오스틴  도널드  베어  조지 페너디  버나드 맥이비티  톰 블랭크  다니엘 할러  돈 메드포드  배역명   파이터 영화명   언더그라운드   감독   강용규
12,나이트메어,사무엘 베이어,뉴라인 시네마,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-05-20,미국,109,139140,공포(호러),청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=나이트메어%09&section=all&ie=utf8,5.84,  애니메이션   슬로베니아 분     감독   안나 생가와 하멜리야크   공포  스릴러   중국  홍콩 분     감독   구예도 출연   설개기  황헌   공포  스릴러  판타지   미국 분     감독   사무엘 베이어 출연   잭키 얼 헤일리  카일 갈너  루니 마라  케이티 캐시디  토마스 데커  켈란 루츠  클랜시 브라운  코니 브리튼  리아  모텐슨   공포  스릴러   미국 분     감독   딜런 뱅크 출연    브룸로즌  조란 북크버   애니메이션   한국 분     감독   이승운  김경희  배역명   상어형 나이트메어영화명   초극장판 케로로 군조  심해의 프린세스입니다   감독   야마구치 스스무  사토 준이치  배역명   범고래형 나이트메어영화명   초극장판 케로로 군조  심해의 프린세스입니다   감독   야마구치 스스무  사토 준이치  배역명   메이드형 나이트메어영화명   초극장판 케로로 군조  심해의 프린세스입니다   감독   야마구치 스스무  사토 준이치
13,더 레이븐,제임스 맥티그,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2012-07-05,미국,265,153278,스릴러,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=더 레이븐%09&section=all&ie=utf8,6.84,  애니메이션  드라마   미국 분     감독   림버트 파비안  브랜든 올덴버그   스릴러  미스터리   미국  헝가리  스페인 분     감독   제임스 맥티그 출연   존 쿠삭  루크 에반스  앨리스 이브   액션    스릴러   미국 분     감독   리카도 드 몬트레우일 출연   빅터 로페즈  안토니오 페레즈   애니메이션  판타지  코미디   독일 분     감독   우테 폰 뮌쇼폴  잔도르 예세 출연   안나 탈바히  카타리나 탈바흐  콘스탄틴 본 자쉐로프  얀 딜레이   다큐멘터리   네덜란드 분     감독   리사 보스트라
14,더 로드,존 힐코트,,(주)누리픽쳐스,에스케이텔레콤(주),2010-01-07,미국,172,176152,SF,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=더 로드%09&section=all&ie=utf8,7.85,  다큐멘터리   중국  덴마크 분     감독   장 잔보   드라마   레바논 분     감독   라나 세일럼 출연   라나 세일럼  가이 차토니   공포  범죄  드라마   필리핀 분     감독   얌 라라나스 출연   카르미나 빌라로엘  리안 라모스   트린니대드   모험  드라마  스릴러   미국 분     감독   존 힐코트 출연   비고 모텐슨  샤를리즈 테론  코디 스밋 맥피   한국 분     감독   정종훈
15,디어 존,라세 할스트롬,릴레티비티 미디어,(주)나이너스엔터테인먼트,(주)화앤담이엔티,2010-03-04,미국,262,192530,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=디어 존%09&section=all&ie=utf8,6.84,  오스트리아 분     감독   한스 슈글   드라마  멜로로맨스  전쟁   미국 분     감독   라세 할스트롬 출연   채닝 테이텀  아만다 사이프리드
16,메카닉,사이먼 웨스트,,(주)동아수출공사,씨너스엔터테인먼트(주),2011-02-24,미국,226,217077,드라마,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=메카닉%09&section=all&ie=utf8,8.14,  애니메이션   프랑스 분     감독   줄리아 보렌스  아나 소피아 베르나르도  나이티 에스콧  니콜라 자코멧  아리안 리사쥬  앙트완 베르니 캐론   액션  범죄  스릴러   미국  프랑스 분     감독   데니스 간젤 출연   제이슨 스타뎀  제시카 알바  토미 리 존스   판타지   미국 분     감독   숀 웰링 출연   리 메이저스  채드 스미스   액션  드라마  스릴러   독일  미국 분     감독   돌프 룬드그렌 출연   돌프 룬드그렌  벤 크로스   액션  드라마  스릴러   미국 분     감독   사이먼 웨스트 출연   제이슨 스타뎀  벤 포스터  배역명   폰 메카닉영화명   위험한 장난   감독   데이비드 젤너  배역명   메카닉영화명   머신건 프리처   감독   마크 포스터
17,비행기,클레이 홀,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-12-19,미국,408,233563,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=비행기%09&section=all&ie=utf8,7.49,  스페인 분     감독   헤수스 마르티네  호토니   애니메이션  모험  가족   미국 분     감독   클레이 홀 출연   발 킬머  테리 해처  세드릭 더 엔터테이너  줄리아 루이스 드레이퍼스  브래드 거렛  존 클리즈  데인 쿡  안소니 에드워즈  프리앙카 초프라  카를로스 엘라즈라퀴  스테이시 키치   애니메이션  모험  코미디  가족   미국 분     감독   로버츠 개너웨이 출연   데인 쿡  줄리 보웬  에드 해리스   드라마   한국 분     감독   노홍식  필동 출연   주가을  예슬비  송보배  윤은지   가족   오스트레일리아 분     감독   로버트 코놀리 출연   샘 워싱턴  에드 옥슨볼드  데보라 메일맨  데이비드 웬햄  배역명    공포 비행기  민주영화명   무서운 이야기   감독   정범식  임대웅  홍지영  김곡  김선  민규동  배역명    공포 비행기  부기장영화명   무서운 이야기   감독   정범식  임대웅  홍지영  김곡  김선  민규동  배역명   비행기 위 귀여운 소녀영화명   캥거루 잭   감독   데이빗 맥낼리  배역명   사악한 비행기 암살자영화명   꾸뻬씨의 행복여행   감독   피터 첼섬  배역명   비행기 철수 친구영화명   남남북녀   감독   정초신
18,홈,팀 존슨,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-21,미국,532,360556,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=홈%09&section=all&ie=utf8,8.37,  영국 분     감독   앰버 그리브   드라마  가족   한국 분     감독   김종우 출연   이효제  허준석  임태풍  김하나   애니메이션   한국 분     감독   정민영  김경진   애니메이션   미국 분     감독   존 모레나   드라마  스릴러   캐나다 분     감독   재커리 크리치맨  마이클 트레더  남   출생년도    관련영화   제인에게 무슨 일이  베스트 풋 포워드  원작  쓰리 멘 온 어 호스  각본  남   출생년도    관련영화   올슨 반덴의 보석 강도  게르트루드     출생년도    관련영화   포 뎀 댓 트레스패스  각본  여   출생년도    관련영화   알케미  스틸 브리딩  약속된 땅  남   출생년도    관련영화   베를린 알렉산더 광장  마리아 브라운의 결혼  제세대  소재지역   대한민국   소재지역   대한민국   이 영화사의 최근작품   천지무용  소재지역   대한민국   이 영화사의 최근작품    폴리스  소재지역   대한민국   이 영화사의 최근작품   엽기 캠퍼스  소재지역   대한민국   배역명   패트리시아 홈영화명   더 세인트   감독   사이먼 웨스트  배역명   소준 홈영화명   파라다이스 바이러스   감독   브라이언 트렌차드스미스  배역명   홈 무비 커먼테이터영화명   멘 오브 더 파이팅 레이디   감독   앤드류 마튼  배역명   피터  버틀러  인 헨리 홈영화명   더 글래스 키   감독   스튜어트 하이슬러  배역명   버틀러  인 헨리 홈영화명   더 글래스 키   감독   스튜어트 하이슬러
19,스토커,박찬욱,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-02-28,미국,329,378729,드라마,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=스토커%09&section=all&ie=utf8,7.28,  한국 분     감독   박윤지 출연   임승우  이혜리   스릴러   미국  영국 분     감독   박찬욱 출연   미아 와시코브스카  매튜 구드  니콜 키드먼   한국 분     감독   이병수 출연   오지훈  임수향   공포  스릴러   미국     감독   존 메이필드 출연   로렌 라키스  제임스 듀발   공포   영국 분     감독   마틴 켐프 출연   애너 브레콘  린다 헤이든  남   출생년도    관련영화   드라큐라의 손님  원조  드라큐라의 저주  각본  드라큐라의 춤  원작  남   출생년도    관련영화   글로리 로드  틴 에이지 마술쇼  프랑켄슈타인  남   출생년도    관련영화   트윅스터  금발의 킬러  가드넘버원역  언인바이티드  남   출생년도    관련영화   하이랜더   시리즈  안나의 겨울  노벰버 문  여   관련영화   미션 임파서블 로그네이션  오페라무대매니저역  퓨리  배역명   스토커영화명   스토커   감독   이병수  배역명   스토커 여학생영화명   패밀리   감독   조준희  최성범  배역명   인디아 스토커영화명   스토커   감독   박찬욱  배역명   스토커 소년영화명   자살 소녀 시간차 공격   감독   박신우  배역명   스토커영화명   긴급조치 호   감독   김태규
20,언스토퍼블,토니 스콧,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-11-10,미국,309,459535,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=언스토퍼블%09&section=all&ie=utf8,8.08,  다큐멘터리   미국 분     감독   대런 돈   액션  드라마  스릴러   미국 분     감독   토니 스콧 출연   덴젤 워싱턴  크리스 파인   스위스 분     감독   조프리 잔스  카이 보펠
21,레드,로베르트 슈벤트케,서미트 엔터티인먼트,(주)나이너스엔터테인먼트,(주)화앤담이엔티,2010-11-03,미국,322,489855,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=레드%09&section=all&ie=utf8,8.04,  드라마   오스트레일리아 분     감독   델 캐서린 바튼   드라마  멜로로맨스  스릴러   한국 분     감독   장정관 출연   김도희  이수진   애니메이션   대만 분     감독   우 조신   애니메이션   프랑스 분     감독   빅토리아 브루니  아마우리 브루넷  알렉상드르 칼룩스  닝 장   액션  코미디  범죄   미국 분     감독   딘 패리소트 출연   이병헌  브루스 윌리스  존 말코비치  캐서린 제타 존스  헬렌 미렌  메리 루이스 파커  안소니 홉킨스  남   출생년도    관련영화   프리스크립션 머더  세트  발라드 오브 조시  미술효과  클램베이크  세트  남   출생년도    관련영화   진 크루파 스토리  남   출생년도    관련영화   블랙 로드  시보  후퍼  레드 라이츠  원안  남   출생년도    관련영화   프레디 더 프리로더스 크리스마스 디너  엔터테인먼트  럭키 레이디  프레디 더 프리로더스 크리스마스 디너  원안  남   출생년도    관련영화   싸이렌트 보이스  소재지역   대한민국   이 영화사의 최근작품   에밀과 탐정들  소재지역   대한민국    이 영화사의 최근작품   해운대   이 영화사의 최근작품   히어로   이 영화사의 최근작품   넛잡   배역명   제이슨레드 레인져영화명   파워레인져스 더 비기닝   감독   딘 이스라엘리트  배역명   레드 목소리영화명   취성의 가르간티아   감독   무라타 카즈야  배역명   크리스 다미코  레드 미스트영화명   킥 애스 영웅의 탄생   감독   매튜 본  배역명   레드 웰비영화명   쓰리 빌보드   감독   마틴 맥도나  배역명   레드영화명   옥자   감독   봉준호
22,러브 & 드럭스,에드워드 즈윅,,,이십세기폭스코리아(주),2011-01-13,미국,284,527077,멜로/로맨스,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=러브 & 드럭스%09&section=all&ie=utf8,7.67,  다큐멘터리 분     감독   듀산 조릭   멜로로맨스   프랑스 분     감독   가스파 노에 출연   칼 글루스맨  아오미 뮈요크   애니메이션   프랑스  헝가리 분     감독   레카 부시   드라마  멜로로맨스   대만  중국 분     감독   유승택 출연   자오웨이  서기  조우정  펑위옌  원경천   드라마   미국 분     감독   쉘돈 캔디스 출연   커먼  데니스 헤이스버트  마이클 레이니 주니어  남   출생년도    관련영화   영원의 처녀  언제나 영원히  데블 앤 미스 존스  남   출생년도    관련영화   썸딩 포 더 버즈  쓰리 이즈 어 패밀리  운명의 향연  여   출생년도    관련영화   악마의 키스  레즈  차타레 부인의 사랑  여   출생년도    관련영화   여자 수용소  나의 세 아들  여   출생년도    관련영화     보난자  페리 메이슨  소재지역   대한민국   이 영화사의 최근작품   감기   이 영화사의 최근작품   써니   이 영화사의 최근작품   아이들  배역명   원 러브영화명   리바운드   감독   스티브 카  배역명   마이크 러브영화명   러브 앤 머시   감독   빌 포래드  배역명   러브 미 텐터 손님영화명   비상   감독   박정훈  배역명   모모조노 러브큐어 피치영화명   프리큐어 올스타즈    미래에 닿아라 세계를 잇는무지개빛 꽃   감독   오츠카 타카시  배역명   모모조노 러브큐어 피치영화명   프리큐어 올스타즈     감독   오츠카 타카시
23,애프터 어스,M. 나이트 샤말란,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-05-30,미국,484,537920,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=애프터 어스%09&section=all&ie=utf8,6.86,  드라마  실험   미국 분     감독   필립 왕     액션  모험   미국 분     감독    나이트 샤말란 출연   윌 스미스  제이든 스미스  조 크라비츠  소피 오코네도
24,루퍼,라이언 존슨,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2012-10-11,미국,386,570010,SF,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=루퍼%09&section=all&ie=utf8,8,  애니메이션   벨기에 분     감독   이브 데로크  멜라니 투르뇌     액션   미국 분     감독   라이언 존슨 출연   조셉 고든 레빗  브루스 윌리스  에밀리 블런트   네덜란드 분     감독   피터 그리너웨이   모험  드라마  멜로로맨스  스릴러  전쟁   영국  스페인  이탈리아  네덜란드  러시아 연방  헝가리  독일 분     감독   피터 그리너웨이 출연    페일드  캐롤라인 다버나스   모험  코미디  드라마  멜로로맨스  스릴러  전쟁   영국  네덜란드  스페인  이탈리아  헝가리 분     감독   피터 그리너웨이 출연    페일드  레이몬드  배리  여   출생년도    관련영화   원챈스  하이드렌지아역  왓 이프  엘리역  호텔 칼레도니아  남   관련영화   카고     관련영화   이글스 인 더 치킨 쿠프  아몬도존스역  이글스 인 더 치킨 쿠프  각본  어덜트 필름 어 할리우드 테일  각본  배역명   루퍼영화명   루퍼   감독   라이언 존슨  배역명   루퍼 윌리영화명   빌로우 허   감독   에이프릴 뮬렌  배역명   더그 루퍼영화명   더 에셋   감독   닐 버거
25,컨택트,드니 빌뇌브,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-02,미국,605,629322,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=컨택트%09&section=all&ie=utf8,8.17,  애니메이션   프랑스 분     감독   레아 뱅첼린   애니메이션   스페인 분     감독   알레산드로 노벨리   드라마    스릴러   미국 분     감독   드니 빌뇌브 출연   에이미 아담스  제레미 레너  포레스트 휘태커      미국 분     감독   로버트 저메키스 출연   조디 포스터  매튜 맥커너히   코미디  공포   미국 분     감독   더스틴 리커트 출연   폴 맥카시 보잉턴  윌리엄 쇼클리  그렉 트라비스
26,투어리스트,플로리안 헨켈 폰 도너스마르크,지케이필름,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-12-09,미국,439,915359,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=투어리스트%09&section=all&ie=utf8,6,  드라마  코미디   미국 분     감독   숀 세네비라트네   액션  스릴러  드라마   미국  프랑스 분     감독   플로리안 헨켈 폰 도너스마르크 출연   안젤리나 졸리  조니 뎁   칠레 분     감독   알리시아 셔슨 출연   마르셀로 알론소  파블로 오센시   드라마  스릴러   미국 분     감독   수리 크리쉬남마 출연   멜라니 그리피스  프루이트 테일러 빈스  마이클 커들리츠  수잔 쿼스트   미스터리  스릴러   미국 분     감독   데이비드 슈모엘러 출연   척 코너스  조셀린 존스  존 반 네스  로빈 쉐우드  배역명   투어리스트 드라이버 목소리영화명   몬스터 호텔    감독   젠디 타타코브스키  배역명   투어리스트 로라영화명   파 크라이   감독   우베 볼  배역명   미드웨스트 투어리스트 맨영화명   드라이 스펠   감독   존 에릭 도들  배역명   투어리스트 조지영화명   파 크라이   감독   우베 볼  배역명   투어리스트 우먼영화명   미키 블루 아이즈   감독   켈리 마킨
27,신들의 전쟁,타셈 싱,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2011-11-10,미국,525,1338411,드라마,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=신들의 전쟁%09&section=all&ie=utf8,6.41,  애니메이션   일본 분     감독   타니 요스케   액션  드라마  판타지   미국 분     감독   타셈 싱 출연   헨리 카빌  미키 루크  프리다 핀토   애니메이션  액션  모험    판타지   일본 분     감독   호소다 마사히로 출연   노자와 마사코  야마데라 코이치  모리타 마사카즈   판타지   중국     감독   국교량 출연   풍소봉  빅토리아  마천우  장맹   범죄  드라마   한국 분     감독   윤종빈 출연   최민식  하정우  소재지역   대한민국   이 영화사의 최근작품   안녕 사요나라   이 영화사의 최근작품   포화 속으로
28,루시,뤽 베송,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-09-03,미국,641,1971837,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=루시%09&section=all&ie=utf8,7.08,  애니메이션   네덜란드 분     감독   에베르트 데 베이에   액션   미국  프랑스 분     감독   뤽 베송 출연   스칼렛 요한슨  모건 프리먼  애널리 팁튼  최민식   다큐멘터리  애니메이션   미국 분     감독   조 루벡   드라마  가족   미국 분     감독   리비 블러드 출연   캐롤라인 아미거트  애덤 그라벨  케라 맥케온   코미디  멜로로맨스   미국  캐나다 분     감독   조너스 엘머 출연   르네 젤위거  해리 코닉 주니어  남   출생년도    관련영화   지킬 박사와 하이드씨  서부 전선 이상 없다  여   출생년도    관련영화   악마의 인형  쓰리 와이즈 걸스  자유의 혼  여   출생년도    관련영화   빨간머리 앤  그린게이블로 가는 길  원작  빨간머리 앤  네버엔딩스토리  원작  빨간머리 앤  새로운 시작  원조  여   출생년도    관련영화   버니 레이크의 실종   계단  여   출생년도    관련영화   딕 트레이시 대 큐볼  원안     배역명   루시 드와이어영화명   이스케이프   감독   존 에릭 도들  배역명   루시 피어스영화명   리틀 칠드런   감독   토드 필드  배역명   루시영화명   아이보이   감독   아담 랜달  배역명   루시영화명   아무도 머물지 않았다   감독   아쉬가르 파라디  배역명   루시 페벤시영화명   나니아 연대기 새벽 출정호의 항해   감독   마이클 앱티드
