영화명,개봉일,스크린수,스크린점유율
기적의 오케스트라 - 엘 시스테마,2010-08-12,21,0.00 
2012,2009-11-12,20,0.00 
노스페이스,2010-06-02,20,0.00 
청설,2010-06-17,20,0.00 
조금만 더 가까이,2010-10-28,20,0.00 
나는 나비,2010-12-02,19,0.00 
채식주의자,2010-02-18,19,0.00 
하우 투 비,2010-01-28,19,0.00 
뉴 문,2009-12-02,18,0.00 
투 아이즈,2010-08-05,18,0.00 
모범시민,2009-12-10,18,0.00 
바비,2010-02-04,17,0.00 
카페 느와르,2010-12-30,16,0.00 
돈 조반니,2010-10-14,16,0.00 
할,2010-10-14,16,0.00 
대부,1973-09-01,16,0.00 
레퓨지,2010-07-15,16,0.00 
크리스마스 스타!,2010-12-23,16,0.00 
존 레논 비긴즈-노웨어 보이,2010-12-09,15,0.00 
데저트 플라워,2010-04-22,15,0.00 
이웃집 좀비,2010-02-18,15,0.00 
선라이즈 선셋,2010-05-13,15,0.00 
공기인형,2010-04-08,15,0.00 
레이징 피닉스,2010-03-25,15,0.00 
땅의 여자,2010-09-09,14,0.00 
리틀 디제이,2010-03-11,14,0.00 
테이킹 우드스탁,2010-07-29,14,0.00 
퀼,2010-01-07,14,0.00 
샤인 어 라이트(1st 지드래곤 콘서트),2010-04-15,14,0.00 
살인의 강,2010-09-30,14,0.00 
"땡큐, 마스터 킴",2010-09-02,14,0.00 
도쿄택시,2010-05-20,13,0.00 
서서 자는 나무,2010-12-09,13,0.00 
속 대부,1978-04-20,13,0.00 
소라닌,2010-08-26,13,0.00 
파코와 마법 동화책,2010-07-22,13,0.00 
이파네마 소년,2010-11-04,13,0.00 
"토이 스토리 1,2",2010-05-05,13,0.00 
애프터 러브,2010-01-21,13,0.00 
아버지를 마지막으로 본 것은 언제입니까?,2010-05-27,12,0.00 
경계도시 2,2010-03-18,12,0.00 
영도 다리,2010-07-01,12,0.00 
로마에서 생긴 일,2010-04-08,12,0.00 
사이즈의 문제,2010-04-15,12,0.00 
참새들의 합창,2010-05-05,12,0.00 
리틀 애쉬 : 달리가 사랑한 그림,2010-01-14,12,0.00 
크랙,2010-07-28,12,0.00 
탈주,2010-09-02,12,0.00 
브라더후드,2010-11-18,11,0.00 
원 나잇 스탠드,2010-05-04,11,0.00 
하프웨이,2010-04-29,11,0.00 
젓가락,2010-10-28,11,0.00 
브라보! 재즈 라이프,2010-12-16,11,0.00 
회오리 바람,2010-02-25,11,0.00 
예스맨 프로젝트,2010-03-25,11,0.00 
미 투,2010-04-15,11,0.00 
셉템버 이슈,2010-01-28,11,0.00 
엘 시크레토 : 비밀의 눈동자,2010-11-11,10,0.00 
이웃집 남자,2010-03-18,10,0.00 
축구의 신: 마라도나,2010-06-03,10,0.00 
유윌 미스 미,2010-02-11,10,0.00 
레인보우,2010-11-18,10,0.00 
판타스틱 Mr. 폭스,2009-12-24,10,0.00 
애즈 갓 커맨즈,2010-04-01,10,0.00 
계몽영화,2010-09-16,10,0.00 
나쁜 놈이 더 잘 잔다,2010-06-24,10,0.00 
위대한 침묵,2009-12-03,10,0.00 
토일렛,2010-12-02,9,0.00 
하트 비트,2010-11-25,9,0.00 
내 첫사랑을 너에게 바친다,2010-08-05,9,0.00 
킥 오프,2010-07-08,9,0.00 
시리어스 맨,2010-03-25,9,0.00 
노르웨이의 숲,2010-09-30,9,0.00 
노라 없는 5일,2010-10-21,9,0.00 
이그잼,2010-11-11,9,0.00 
불청객,2010-09-30,8,0.00 
우리 만난 적 있나요,2010-11-25,8,0.00 
미녀들의 전쟁,2010-06-24,8,0.00 
사랑하고 싶은 시간,2010-12-02,8,0.00 
잊혀진 가방,2010-07-29,8,0.00 
"러블리, 스틸",2010-12-23,8,0.00 
웰컴,2009-12-10,8,0.00 
천국의 속삭임,2009-12-17,7,0.00 
노 임팩트 맨,2010-06-17,7,0.00 
클래스,2010-04-01,7,0.00 
카이지,2010-08-19,7,0.00 
믿음의 승부,2010-04-15,7,0.00 
키사라기 미키짱,2010-02-11,7,0.00 
케로로 더 무비: 드래곤 워리어,2009-04-30,7,0.00 
여배우들,2009-12-10,7,0.00 
꽃비,2010-04-01,7,0.00 
리미츠 오브 컨트롤,2010-08-12,7,0.00 
희망의 별 - 이퀘지레템바,2010-10-07,7,0.00 
클라라,2010-12-16,7,0.00 
아웃레이지,2010-12-02,7,0.00 
"빗자루, 금붕어 되다",2010-09-30,6,0.00 
퍼머넌트 노바라,2010-11-04,6,0.00 
친구사이?,2009-12-17,6,0.00 
용서,2010-12-05,6,0.00 
제 4회 서울국제가족영상축제(SIFFF2010),2010-10-27,6,0.00 
세이브 어 라이프,2010-11-11,6,0.00 
반드시 크게 들을 것,2010-04-22,6,0.00 
사사건건,2010-01-21,6,0.00 
좋아서 만든 영화,2009-12-17,6,0.00 
블러디쉐이크,2010-05-27,6,0.00 
소규모 아카시아 밴드 이야기,2010-01-14,6,0.00 
여덟 번의 감정,2010-09-30,5,0.00 
시크릿,2009-12-03,5,0.00 
"시네도키, 뉴욕",2010-01-07,5,0.00 
걸프렌즈,2009-12-17,5,0.00 
행복한 울릉인,2010-02-25,5,0.00 
그 남자가 아내에게,2010-08-26,5,0.00 
어둠의 아이들,2010-03-25,5,0.00 
크리스마스 캐롤,2009-11-26,5,0.00 
아이언맨,2008-04-30,5,0.00 
하녀,1960-11-03,5,0.00 
춤추는 동물원,2010-12-02,5,0.00 
푸른 수염,2010-04-01,5,0.00 
어웨이 위 고,2010-02-04,5,0.00 
우리들과 경찰아저씨의 700일 전쟁,2010-04-15,4,0.00 
패밀리마트,2010-11-25,4,0.00 
쉬즈 더 원,2010-07-15,4,0.00 
사람을 찾습니다,2009-12-17,4,0.00 
경,2010-04-29,4,0.00 
당신을 오랫동안 사랑했어요,2010-01-07,4,0.00 
시네마 디지털 서울 2010,2010-08-18,4,0.00 
맛있는 인생,2010-10-28,4,0.00 
홍길동의 후예,2009-11-26,4,0.00 
크레이지 하트,2010-03-04,4,0.00 
하이자오 7번지,2010-03-18,4,0.00 
제2회 서울국제초단편영상제,2010-11-05,4,0.00 
브로큰 임브레이스,2009-11-19,3,0.00 
파라노말 포제션,2010-08-12,3,0.00 
아쉬람,2010-02-25,3,0.00 
7월 32일,2010-04-22,3,0.00 
나를 닮은 얼굴,2010-09-30,3,0.00 
여행,2010-05-20,3,0.00 
제7회 서울환경영화제[2010.05.19-05.26],2010-05-19,3,0.00 
서유기 선리기연,,3,0.00 
제5회 국제대학생평화영화제,2010-10-27,3,0.00 
제8회 기독교 영화제,2010-10-21,3,0.00 
제9회 미쟝센 단편영화제(2010),,3,0.00 
우리 의사 선생님,2010-04-29,3,0.00 
바람,2009-11-26,3,0.00 
마법의 세계 녹터나,2009-08-27,3,0.00 
서유기 월광보합,1995-09-16,3,0.00 
페티쉬,2010-11-25,3,0.00 
킹콩,2005-12-14,3,0.00 
오디션,,3,0.00 
식객,2007-11-01,3,0.00 
잘 알지도 못하면서,2009-05-14,3,0.00 
바흐 이전의 침묵,2010-10-21,3,0.00 
SICAF2010 서울국제만화애니메이션페스티벌,,3,0.00 
2010핑크영화제,,3,0.00 
2009 일본 인디필름 페스티벌,,3,0.00 
작은 영웅 데스페로,2009-02-12,3,0.00 
러브 송,2010-04-08,3,0.00 
언 애듀케이션,2010-03-18,3,0.00 
제프 벡 로니스콧 라이브,2010-07-22,3,0.00 
인플루언스,2010-08-19,3,0.00 
살아있는 야생탐험,2009-05-11,3,0.00 
감동과의 재회전,,3,0.00 
솔트+인셉션+고사 두 번째 이야기: 교생실습,2010-07-28,3,0.00 
인셉션+이끼+마법사의 제자,2010-07-21,3,0.00 
내 친구의 소원,2011-01-06,3,0.00 
2009 광주국제영화제,,3,0.00 
제2회 CGV-바자패션필름페스티벌,2010-09-01,3,0.00 
경계도시,,3,0.00 
이클립스+슈렉 포에버 (자막)+나잇 & 데이,,2,0.00 
2010칸국제광고제 수상작페스티벌,2010-10-07,2,0.00 
시네마정동-아이언맨 2+구르믈 버서난 달처럼+허트 로커,2010-04-29,2,0.00 
2010 3D한국국제영화제,2010-10-13,2,0.00 
먹고 기도하고 사랑하라+레터스 투 줄리엣+적인걸: 측천무후의 비밀,2010-10-07,2,0.00 
올웨이스 비보이,2009-12-24,2,0.00 
감자심포니,2009-12-10,2,0.00 
서울,2010-04-22,2,0.00 
첫사랑 열전,2010-05-05,2,0.00 
마녀의 관,2010-03-04,2,0.00 
시간의 춤,2009-12-03,2,0.00 
"색, 계",2007-11-08,2,0.00 
에반게리온: 파,2009-12-03,2,0.00 
자전거 드림,,2,0.00 
맨 온 와이어,2010-02-04,2,0.00 
뭘 또 그렇게까지,2010-04-29,2,0.00 
소명,2009-04-02,2,0.00 
이번 일요일에,2010-03-04,2,0.00 
줄리 & 줄리아,2009-12-10,2,0.00 
시티 오브 크레인,2010-05-06,2,0.00 
시스터 스마일,2010-04-29,2,0.00 
백야행,2009-11-19,2,0.00 
플랜 B,2010-06-17,2,0.00 
하얀리본,2010-07-01,2,0.00 
미스터좀비,2010-08-26,2,0.00 
엉클 분미,2010-09-16,2,0.00 
퀸 락 몬트리올,2009-07-30,2,0.00 
더 코브: 슬픈 돌고래의 진실,2009-10-29,2,0.00 
아저씨+토이 스토리 3(자막)+솔트,2010-08-05,2,0.00 
비스트 스토커 2 - <증인> 두 번째 이야기,2010-11-11,2,0.00 
그녀에게,2010-05-13,2,0.00 
청담보살,2009-11-11,2,0.00 
엘라의 계곡,2009-12-10,2,0.00 
세비지 그레이스,2009-07-09,2,0.00 
아더와 미니모이-제1탄비밀원정대의출정,2009-07-09,2,0.00 
블러디 발렌타인,2009-07-22,2,0.00 
황혼의 사무라이,2007-02-08,2,0.00 
생활의 발견,2002-03-21,2,0.00 
분홍돌고래,2010-07-01,2,0.00 
히어로,2010-11-18,2,0.00 
당신은 아름답다,2010-08-26,2,0.00 
2010 부산국제단편영화제,2010-05-12,2,0.00 
G20성공기원 영화대축제,2010-10-28,2,0.00 
이클립스+이끼+파괴된 사나이,2010-07-14,2,0.00 
"마지막 사랑, 첫사랑",,2,0.00 
스트랠라,,2,0.00 
시노비,,2,0.00 
오페라-투란도트(메트로폴리탄),2010-01-10,2,0.00 
스카이 크롤러,2010-10-28,2,0.00 
"60년전, 사선에서",2010-06-24,2,0.00 
멘탈,2010-04-08,2,0.00 
의형제+하모니+식객: 김치전쟁,,2,0.00 
나의 불행에는 이유가 있다,2010-11-25,2,0.00 
오페라-카르멘(메트로폴리탄),2010-04-04,2,0.00 
악마를 보았다+익스펜더블+아저씨,2010-08-19,2,0.00 
수상한 이웃들,2011-04-14,2,0.00 
하쿠나 마타타 - 지라니 이야기,2010-12-09,2,0.00 
라푼젤,2011-02-10,2,0.00 
왠 유어 스트레인지,2010-12-23,2,0.00 
퍼시잭슨과 번개도둑+의형제+울프맨,2010-02-11,2,0.00 
평행이론+발렌타인 데이+의형제,2010-02-18,2,0.00 
마법사의 제자+솔트+이끼,,2,0.00 
유키와 니나,2010-07-15,2,0.00 
여행자,2009-10-29,2,0.00 
퍼니 게임,2009-10-08,2,0.00 
귀없는 토끼,2009-11-19,2,0.00 
섹스 앤 데스,2010-02-04,2,0.00 
해리 포터와 혼혈 왕자,2009-07-15,2,0.00 
똥파리,2009-04-16,2,0.00 
관능소설가의 아내,2010-07-27,1,0.00 
달콤한 악마의 유혹,2010-07-15,1,0.00 
"단지처, 오후의 정사",2010-06-24,1,0.00 
섹스 파티 그리고 거짓말,2010-06-17,1,0.00 
노트: 아내와 남교수의 금지된 사랑,2010-07-13,1,0.00 
스케이트 오어 다이,2010-10-21,1,0.00 
우주의 역사,,1,0.00 
"도와줘,에로스",2010-03-18,1,0.00 
아이 노우 유 노우,2010-05-04,1,0.00 
더 문,2009-11-26,1,0.00 
까칠한 그녀의 달콤한 연애비법,2009-10-22,1,0.00 
바람의 노래,,1,0.00 
파리가 사랑한 배우,,1,0.00 
엄지아빠,2010-09-02,1,0.00 
지옥의 묵시록 : 리덕스,2001-08-30,1,0.00 
블러드 앤 초콜렛,2010-06-10,1,0.00 
아내 그리고 밀애 2,2010-07-10,1,0.00 
"괜찮아, 정말 괜찮아",2010-05-20,1,0.00 
부끄러움,2010-04-29,1,0.00 
뜨겁게 안아줘,2010-05-03,1,0.00 
P.S 온리 유,2010-02-25,1,0.00 
네이키드 보이즈 싱잉,2010-02-01,1,0.00 
조용한 혼돈,2009-08-27,1,0.00 
걸어도 걸어도,2009-06-18,1,0.00 
안토니아스 라인,1997-01-11,1,0.00 
황색 눈물,2007-06-14,1,0.00 
가까이서 본 기차,2007-05-10,1,0.00 
마음,2007-05-10,1,0.00 
미안하다 독도야,2008-12-31,1,0.00 
로미오와 줄리엣 결혼하다,2008-04-17,1,0.00 
식코,2008-04-03,1,0.00 
누들,2008-08-14,1,0.00 
더 폴: 오디어스와 환상의 문,2008-12-04,1,0.00 
추적,2008-11-20,1,0.00 
맘마미아!,2008-09-03,1,0.00 
"뉴욕에서 온 남자, 파리에서 온 여자",2007-07-19,1,0.00 
안경,2007-11-29,1,0.00 
협객 김두한,1975-06-05,1,0.00 
오슬로의 이상한 밤,2011-02-10,1,0.00 
러시안 레슨,,1,0.00 
더티댄싱,1988-01-01,1,0.00 
졸업,1971-06-19,1,0.00 
하얀전쟁,1992-07-04,1,0.00 
퐁네프의 연인들,1992-04-18,1,0.00 
빨간모자의 진실,2006-04-06,1,0.00 
전장에서 나는,,1,0.00 
석양의 무법자,2008-07-15,1,0.00 
사랑의 찬가,2006-09-07,1,0.00 
브라더스,2005-04-23,1,0.00 
스잔나,1981-07-17,1,0.00 
천리마 축구단,2005-08-26,1,0.00 
미워도 다시 한번 '80 제2부,1981-05-30,1,0.00 
슈팅 라이크 베컴,2002-08-30,1,0.00 
뮤턴트 에일리언,2002-02-22,1,0.00 
원스 어폰 어 타임 인 아메리카,1984-12-10,1,0.00 
헤드윅,2002-08-09,1,0.00 
카모메 식당,2007-08-02,1,0.00 
혐오스런 마츠코의 일생,2007-04-12,1,0.00 
섹스 이즈 코메디,2004-09-16,1,0.00 
오프사이드,2006-06-08,1,0.00 
[EXiS2010]토론토 특집_ 바바라 스텐버그 2,,1,0.00 
[EXiS2010]토론토 특집 비디오 아트 1,,1,0.00 
[EXiS2010]토론토 특집 비디오 아트 2,,1,0.00 
[EXiS2010]토론토 특집 비디오 아트 3,,1,0.00 
[EXiS2010]토론토 특집 비디오 아트 4,,1,0.00 
[EXiS2010]비바 페스티벌 1,2010-09-02,1,0.00 
[EXiS2010]인디-비주얼 _ 브루스 엘더 1,,1,0.00 
[EXiS2010]인디-비주얼 _ 브루스 엘더 2,,1,0.00 
[EXiS2010]인디-비주얼 _ 브루스 엘더 4,,1,0.00 
[EXiS2010]인디-비주얼 _ 스티브 레인키,,1,0.00 
[EXiS2010]인디-비주얼 _ 함양아,,1,0.00 
[EXiS2010]회고전_ 마이클 스노우 2,,1,0.00 
[EXiS2010]회고전_ 마이클 스노우 3,,1,0.00 
[EXiS2010]회고전_ 마이클 스노우 5,,1,0.00 
[EXiS2010]회고전_ 마이클 스노우 6,,1,0.00 
[EXiS2010]토론토 미디어 아트 네트워크 CFMDC,,1,0.00 
[EXiS2010]토론토 미디어 아트 네트워크_나이아가라커스텀랩,,1,0.00 
[EXiS2010]토론토 미디어 아트 네트워크_이미지스 페스티벌_ 로스 맥래런,,1,0.00 
[EXiS2010]EX-IN,,1,0.00 
킬러스+애프터 라이프+피라냐 2D,,1,0.00 
목소리. 마르그리트 뒤라스 영화제,,1,0.00 
장선우 특별전,,1,0.00 
금요단편극장-4인4색 ‘여자’,,1,0.00 
리버티 밸런스를 쏜 사나이,2010-09-19,1,0.00 
해결사+마루 밑 아리에티+킬러스,2010-09-09,1,0.00 
"사람이 살고 있었다+강연: ""문학, 다큐를 만나다""",,1,0.00 
남승석 감독 특별전,2010-09-16,1,0.00 
애프터 라이프+피라냐+해결사,2010-09-09,1,0.00 
뽕똘,2011-08-25,1,0.00 
야만의 무기,,1,0.00 
소피와 수진 사이,,1,0.00 
휴일,,1,0.00 
[SIFF2010] 특별초청1,,1,0.00 
11월 금요단편극장-트라우마를 찾아서,,1,0.00 
2010칸국제광고제 미공개본,,1,0.00 
곽지균 감독 추모 영화제,,1,0.00 
2010년 7~12월 일본영화걸작 정기무료상영회,,1,0.00 
오시마 나기사 회고전,,1,0.00 
7월 정기상영회 <왕자들의 쉼터>,,1,0.00 
오페라-아르미다 (메트로폴리탄),2010-07-10,1,0.00 
