순위,영화명,개봉일,좌석수,좌석점유율,관객수,좌석판매율,매출액,누적매출액,누적관객수
84,아메리칸 스나이퍼,2015-01-14,"1,442,445",0.00 ,"344,766",23.90%,"2,800,001,438","2,808,488,438","345,759"
84,에베레스트,2015-09-24,"1,496,930",0.00 ,"332,180",22.10%,"3,055,119,748","3,055,119,748","332,180"
84,호빗: 다섯 군대 전투,2014-12-17,"1,061,817",0.00 ,"326,887",30.70%,"2,840,004,341","24,268,487,685","2,836,774"
84,스폰지밥 3D,2015-02-18,"1,152,030",0.00 ,"325,016",28.20%,"2,458,946,200","2,458,946,200","325,016"
84,패딩턴,2015-01-07,"1,259,009",0.00 ,"305,100",24.20%,"2,246,424,729","2,327,212,729","314,782"
84,스파이 브릿지,2015-11-05,"1,763,971",0.00 ,"264,872",15.00%,"2,049,608,478","2,049,608,478","264,872"
84,함정,2015-09-10,"1,477,888",0.00 ,"257,990",17.40%,"2,090,877,200","2,090,877,200","257,990"
84,언브로큰,2015-01-07,"1,564,930",0.00 ,"256,475",16.30%,"1,997,947,292","2,000,555,292","256,801"
84,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,2015-01-14,"1,046,019",0.00 ,"233,347",22.30%,"1,653,084,000","1,653,084,000","233,347"
84,괴물의 아이,2015-11-25,"1,363,226",0.00 ,"223,661",16.40%,"1,656,086,416","1,656,086,416","223,661"
84,언프렌디드: 친구삭제,2015-05-07,"1,325,961",0.00 ,"219,892",16.50%,"1,645,623,941","1,645,623,941","219,892"
84,연애의 맛,2015-05-07,"1,632,731",0.00 ,"214,539",13.10%,"1,725,990,153","1,725,990,153","214,539"
84,버드맨,2015-03-05,"1,729,191",0.00 ,"206,241",11.90%,"1,664,640,800","1,664,640,800","206,241"
84,기생수 파트1,2015-02-26,"950,492",0.00 ,"186,184",19.50%,"1,534,923,185","1,543,346,126","187,291"
84,팬,2015-10-08,"1,273,670",0.00 ,"186,137",14.60%,"1,425,092,592","1,425,325,592","186,174"
84,레전드,2015-12-10,"1,629,135",0.00 ,"179,738",11.00%,"1,436,348,930","1,436,348,930","179,738"
84,아메리칸 울트라,2015-08-27,"1,251,281",0.00 ,"161,382",12.80%,"1,301,387,295","1,301,387,295","161,382"
84,트랜스포터: 리퓰드,2015-10-15,"1,512,406",0.00 ,"161,245",10.60%,"1,263,319,115","1,263,319,115","161,245"
84,워킹걸,2015-01-07,"927,073",0.00 ,"149,181",16.00%,"1,183,887,479","1,201,963,479","151,550"
84,워터 디바이너,2015-01-28,"1,231,914",0.00 ,"136,134",11.00%,"1,008,818,235","1,008,818,235","136,134"
84,나의 절친 악당들,2015-06-25,"1,277,660",0.00 ,"133,553",10.40%,"1,054,470,664","1,054,470,664","133,553"
84,셀프/리스,2015-09-10,"1,015,173",0.00 ,"111,127",10.90%,"874,447,764","874,447,764","111,127"
84,맨 프롬 UNCLE,2015-10-28,"1,051,912",0.00 ,"108,551",10.30%,"846,390,353","846,390,353","108,551"
84,더 건맨,2015-04-16,"1,423,441",0.00 ,"107,444",7.50%,"833,925,965","833,925,965","107,444"
84,7번째 아들,2015-02-11,"1,070,865",0.00 ,"92,598",8.60%,"729,980,451","729,980,451","92,598"
84,포커스,2015-02-26,"919,758",0.00 ,"91,164",9.90%,"702,878,700","702,878,700","91,164"
116,내부자들: 디 오리지널,2015-12-31,"553,613",0.00 ,"408,140",73.70%,"3,329,327,070","3,329,327,070","408,140"
116,다이노 타임,2015-04-30,"835,149",0.00 ,"283,300",33.90%,"2,099,683,100","2,108,596,800","284,900"
116,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,2015-02-12,"722,991",0.00 ,"257,381",35.50%,"1,885,543,600","1,885,543,600","257,381"
116,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,"600,961",0.00 ,"234,708",39.00%,"1,679,296,300","1,679,296,300","234,708"
116,노아의 방주: 남겨진 녀석들,2015-04-30,"696,654",0.00 ,"219,621",31.50%,"1,586,417,300","1,589,433,800","220,189"
116,19곰 테드 2,2015-06-25,"905,405",0.00 ,"170,647",18.80%,"1,378,084,400","1,378,084,400","170,647"
116,인터스텔라,2014-11-06,"549,899",0.00 ,"170,235",30.90%,"1,619,640,900","82,371,390,000","10,283,774"
116,스누피: 더 피너츠 무비,2015-12-24,"477,382",0.00 ,"166,389",34.80%,"1,272,229,000","1,272,229,000","166,389"
116,최강전사 미니특공대 : 새로운 악당의 습격,2015-02-05,"594,355",0.00 ,"155,348",26.10%,"1,171,479,200","1,171,479,200","155,348"
116,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,2015-04-23,"642,656",0.00 ,"150,226",23.30%,"1,085,388,600","1,085,388,600","150,226"
116,러브 라이브! 더 스쿨 아이돌 무비,2015-09-03,"380,163",0.00 ,"130,223",34.20%,"985,069,000","985,069,000","130,223"
116,퇴마: 무녀굴,2015-08-20,"791,635",0.00 ,"120,802",15.20%,"951,843,500","951,843,500","120,802"
116,존 윅,2015-01-21,"872,552",0.00 ,"116,119",13.30%,"925,995,637","925,995,637","116,119"
116,상의원,2014-12-24,"404,826",0.00 ,"113,526",28.00%,"908,709,400","6,204,129,964","790,370"
116,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,2015-09-17,"454,667",0.00 ,"113,404",24.90%,"816,868,100","816,868,100","113,404"
116,사우스포,2015-12-03,"877,590",0.00 ,"100,785",11.40%,"757,831,248","757,831,248","100,785"
116,돌연변이,2015-10-22,"843,114",0.00 ,"100,523",11.90%,"748,816,684","748,816,684","100,523"
116,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,2015-11-26,"536,380",0.00 ,"100,054",18.60%,"731,072,500","731,072,500","100,054"
116,갤로우즈,2015-09-03,"620,500",0.00 ,"88,777",14.30%,"686,186,406","686,186,406","88,777"
116,더 이퀄라이저,2015-01-28,"669,921",0.00 ,"82,779",12.30%,"639,464,500","639,464,500","82,779"
116,모데카이,2015-02-18,"535,569",0.00 ,"78,070",14.50%,"624,513,020","624,513,020","78,070"
116,라스트 위치 헌터,2015-12-30,"261,584",0.00 ,"78,049",29.80%,"580,843,600","580,843,600","78,049"
116,엑스 마키나,2015-01-21,"505,743",0.00 ,"78,049",15.40%,"629,716,963","633,161,363","78,435"
116,쓰리 썸머 나잇,2015-07-15,"697,723",0.00 ,"77,621",11.10%,"616,132,846","616,132,846","77,621"
116,피치 퍼펙트: 언프리티 걸즈,2015-05-28,"735,770",0.00 ,"75,598",10.20%,"591,516,497","591,516,497","75,598"
116,위자,2015-04-16,"843,509",0.00 ,"73,549",8.70%,"570,154,035","570,989,035","73,716"
116,다크 플레이스,2015-07-15,"543,866",0.00 ,"66,075",12.10%,"530,282,654","530,282,654","66,075"
116,히트맨: 에이전트 47,2015-09-03,"616,643",0.00 ,"64,157",10.40%,"502,308,500","502,308,500","64,157"
116,보루토 - 나루토 더 무비,2015-12-10,"349,545",0.00 ,"64,142",18.30%,"477,037,900","477,037,900","64,142"
116,기생수 파트2,2015-05-07,"673,148",0.00 ,"63,529",9.40%,"514,236,959","514,500,959","63,560"
116,아더와 미니모이 3: 두 세계의 전쟁,2015-11-05,"260,031",0.00 ,"61,550",23.60%,"434,914,800","434,914,800","61,550"
116,주온: 더 파이널,2015-10-01,"641,947",0.00 ,"61,130",9.50%,"462,659,400","462,659,400","61,130"
116,파더 앤 도터,2015-12-10,"765,051",0.00 ,"60,856",7.90%,"464,486,100","464,486,100","60,856"
116,개구리왕국,2015-11-12,"230,592",0.00 ,"53,576",23.20%,"362,895,100","362,895,100","53,576"
116,더 비지트,2015-10-15,"583,607",0.00 ,"52,197",8.90%,"403,435,581","403,435,581","52,197"
116,미안해 사랑해 고마워,2015-10-28,"830,131",0.00 ,"51,207",6.10%,"359,247,800","359,247,800","51,207"
116,비밀,2015-10-15,"635,969",0.00 ,"50,196",7.80%,"369,339,300","369,339,300","50,196"
116,스트레이트 아웃 오브 컴턴,2015-09-10,"392,244",0.00 ,"48,844",12.40%,"412,749,800","412,749,800","48,844"
116,이스케이프,2015-11-05,"534,008",0.00 ,"47,760",8.90%,"365,265,000","365,265,000","47,760"
116,크림슨 피크,2015-11-25,"560,970",0.00 ,"46,479",8.20%,"377,868,400","377,868,400","46,479"
116,피케이: 별에서 온 얼간이,2015-09-03,"371,337",0.00 ,"45,301",12.10%,"352,152,800","352,210,800","45,311"
116,약장수,2015-04-23,"512,216",0.00 ,"43,562",8.50%,"313,238,400","314,542,400","44,214"
116,일곱난쟁이,2014-12-24,"119,111",0.00 ,"42,925",36.00%,"304,278,800","1,622,195,700","227,586"
116,아델라인 : 멈춰진 시간,2015-10-15,"466,463",0.00 ,"40,096",8.50%,"310,087,419","310,087,419","40,096"
116,위아 유어 프렌즈,2015-11-12,"369,273",0.00 ,"37,853",10.20%,"298,996,400","298,996,400","37,853"
116,령 : 저주받은 사진,2015-06-04,"493,772",0.00 ,"36,371",7.30%,"277,244,253","277,244,253","36,371"
116,에스엠타운 더 스테이지,2015-08-13,"97,109",0.00 ,"35,857",36.90%,"284,650,500","284,650,500","35,857"
116,나를 미치게 하는 여자,2015-12-10,"276,403",0.00 ,"32,664",11.80%,"231,225,700","237,669,700","33,380"
116,라자루스,2015-07-02,"144,555",0.00 ,"27,445",18.90%,"215,951,800","215,951,800","27,445"
116,트레이서,2015-03-19,"447,451",0.00 ,"26,262",5.80%,"197,286,000","197,286,000","26,262"
116,숲속으로,2014-12-24,"123,369",0.00 ,"24,476",19.80%,"186,970,400","2,596,533,288","341,882"
116,진격의 거인: 홍련의 화살,2015-01-28,"200,334",0.00 ,"24,450",12.20%,"192,575,800","192,575,800","24,450"
116,레전드 오브 래빗: 불의 전설,2015-09-24,"121,873",0.00 ,"24,111",19.70%,"178,371,100","178,371,100","24,111"
116,드래곤볼 Z : 부활의 F,2015-10-01,"136,941",0.00 ,"23,294",17.00%,"176,019,000","176,019,000","23,294"
116,차일드 44,2015-05-28,"249,059",0.00 ,"21,604",8.60%,"168,643,231","168,643,231","21,604"
116,유아 낫 유,2015-01-21,"148,925",0.00 ,"17,372",11.60%,"138,505,400","138,505,400","17,372"
116,어바웃 리키,2015-09-03,"226,700",0.00 ,"16,404",7.20%,"122,501,900","123,069,900","16,475"
116,아스테릭스: 신들의 전당,2015-04-30,"99,793",0.00 ,"15,315",15.30%,"108,464,000","108,464,000","15,315"
116,베스트 오브 미,2015-06-18,"177,480",0.00 ,"13,399",7.50%,"100,915,600","100,915,600","13,399"
116,폴라로이드,2015-07-16,"24,480",0.00 ,"12,238",49.90%,"81,194,500","82,417,500","12,457"
116,어우동: 주인 없는 꽃,2015-01-29,"44,394",0.00 ,"12,203",27.40%,"60,141,000","68,421,000","13,123"
116,타투,2015-12-10,"156,508",0.00 ,"12,102",7.70%,"99,255,100","99,255,100","12,102"
116,검은손,2015-04-16,"317,610",0.00 ,"11,650",3.60%,"89,815,665","89,815,665","11,650"
116,카이트,2015-06-11,"26,308",0.00 ,"11,287",42.90%,"66,844,000","66,844,000","11,287"
116,퇴마전: 마령검의 비밀,2015-08-27,"24,741",0.00 ,"10,922",44.10%,"65,107,000","65,107,000","10,922"
116,제 7기사단,2015-09-10,"159,809",0.00 ,"10,710",6.70%,"80,160,964","80,160,964","10,710"
116,슈퍼레이서 엔지,2015-09-10,"84,190",0.00 ,"10,612",12.60%,"73,587,800","73,587,800","10,612"
116,더 기프트,2015-11-05,"167,087",0.00 ,"8,864",5.30%,"67,450,248","67,450,248","8,864"
116,슬리핑 위드 아더 피플,2015-10-22,"139,887",0.00 ,"8,252",5.80%,"65,868,300","65,868,300","8,252"
116,구스범스,2016-01-14,"9,967",0.00 ,"7,778",78.00%,"50,938,000","50,938,000","7,778"
116,미스트리스 아메리카,2015-12-10,"48,031",0.00 ,"7,699",16.00%,"63,251,800","63,251,800","7,699"
116,뱀파이어 아카데미,2015-04-09,"23,439",0.00 ,"7,649",32.60%,"43,600,500","43,600,500","7,649"
116,꾸루꾸루와 친구들: 무지개 나무의 비밀,2015-11-19,"66,128",0.00 ,"7,345",11.10%,"51,367,500","51,367,500","7,345"
116,투캅스 인 파리,2015-03-26,"25,301",0.00 ,"6,786",26.80%,"34,266,000","34,266,000","6,786"
116,모든 비밀스러운 것들,2015-07-02,"49,730",0.00 ,"6,507",13.00%,"44,937,000","44,937,000","6,507"
116,호야와 토리: 드래곤 숲의 비밀,2015-06-04,"155,818",0.00 ,"6,376",4.00%,"43,597,200","43,597,200","6,376"
116,맛있는 택배,2015-04-02,"20,923",0.00 ,"6,276",29.90%,"31,122,000","31,122,000","6,276"
116,서태지밴드 콘서트투어 '콰이어트나이트',2015-11-26,"22,375",0.00 ,"5,908",26.40%,"52,669,600","52,669,600","5,908"
116,더 로프트 : 비밀의 방,2015-10-01,"151,894",0.00 ,"5,441",3.50%,"40,892,300","40,892,300","5,441"
116,울트라맨 사가,2015-02-26,"79,547",0.00 ,"5,103",6.40%,"37,277,400","37,277,400","5,103"
116,암살교실,2015-08-27,"62,886",0.00 ,"5,097",8.10%,"40,197,700","40,197,700","5,097"
116,나쁜 녀석들,2015-03-26,"105,037",0.00 ,"4,936",4.60%,"35,561,300","35,561,300","4,936"
116,타이거 마운틴,2015-04-23,"18,241",0.00 ,"4,910",26.90%,"25,024,000","25,024,000","4,910"
116,세상끝의 사랑,2015-11-12,"112,279",0.00 ,"4,746",4.20%,"37,203,300","37,203,300","4,746"
116,사랑에 대한 모든 것,2014-12-10,"25,417",0.00 ,"4,610",18.10%,"37,461,743","2,162,875,089","278,043"
116,"러브, 로지",2014-12-10,"7,309",0.00 ,"4,510",61.70%,"35,819,000","2,259,859,603","296,730"
116,쿠크하트 : 시계심장을 가진 소년,2015-08-20,"35,450",0.00 ,"4,093",11.50%,"26,569,200","27,805,200","4,342"
116,노크 노크,2015-10-22,"90,400",0.00 ,"4,024",4.40%,"33,317,500","33,317,500","4,024"
116,아웃사이더,2015-06-21,"4,693",0.00 ,"3,711",79.00%,"18,555,000","18,555,000","3,711"
116,적도,2015-05-28,"87,113",0.00 ,"3,679",4.20%,"27,026,500","27,026,500","3,679"
116,포제션 : 중독된 사랑,2015-06-21,"3,977",0.00 ,"3,625",91.10%,"18,125,000","18,125,000","3,625"
116,스킨 트레이드,2015-08-20,"20,856",0.00 ,"3,588",17.20%,"18,621,000","18,621,000","3,588"
116,에벌리,2015-06-04,"31,263",0.00 ,"3,223",10.30%,"20,988,500","20,988,500","3,223"
116,맛있는 비행,2015-10-22,"13,007",0.00 ,"3,141",24.10%,"16,041,000","16,041,000","3,141"
116,와일드 카드,2015-03-19,"95,525",0.00 ,"3,109",3.20%,"23,712,000","23,712,000","3,109"
116,유닛7,2015-01-22,"11,012",0.00 ,"3,068",27.80%,"16,948,000","16,948,000","3,068"
116,빌리 엘리어트 뮤지컬 라이브,2014-11-27,"11,477",0.00 ,"2,956",25.70%,"54,170,000","404,333,500","22,092"
116,피가로의 결혼,2015-02-21,"10,562",0.00 ,"2,350",22.20%,"49,607,500","49,932,500","2,415"
116,에덴 : 동물원 사수 대작전,2015-09-03,"30,276",0.00 ,"2,093",6.90%,"14,451,600","14,451,600","2,093"
116,아이다 라스칼라,2015-12-05,"6,824",0.00 ,"1,908",27.90%,"41,041,000","41,041,000","1,908"
