영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급
언더월드 4: 어웨이크닝,"만스 말린드,비욘 스테인",,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-02-22,미국,343,200038,액션,청소년관람불가
굿모닝 에브리원,로저 미첼,,씨제이이앤엠(주),씨제이이앤엠(주),2011-03-17,미국,144,202148,드라마,15세이상관람가
어쌔신: 더 비기닝,마이클 쿠에스타,,(주)우성엔터테인먼트,(주)이수C&E,2017-12-07,미국,528,203221,액션,15세이상관람가
비포 미드나잇,리차드 링클레이터,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2013-05-22,미국,275,203476,드라마,청소년관람불가
버드맨,알레한드로 곤잘레스 이냐리투,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-03-05,미국,380,204742,코미디,청소년관람불가
한나,조 라이트,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-04-14,미국,269,208912,액션,15세이상관람가
러블리 본즈,피터 잭슨,"윙누트 필름,드림웍스 프로덕션 LLC",씨제이엔터테인먼트,씨제이엔터테인먼트,2010-02-25,미국,225,212035,범죄,15세이상관람가
한 솔로: 스타워즈 스토리,론 하워드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-05-24,미국,569,213986,액션,12세이상관람가
독수리 에디,덱스터 플레처,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-04-07,미국,528,214003,드라마,12세이상관람가
허리케인 하이스트,롭 코헨,,(주)우성엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2018-03-14,미국,544,214949,액션,15세이상관람가
그린랜턴: 반지의 선택,마틴 캠벨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-06-16,미국,345,216676,SF,12세이상관람가
메카닉,사이먼 웨스트,,(주)동아수출공사,씨너스엔터테인먼트(주),2011-02-24,미국,226,217077,드라마,청소년관람불가
50가지 그림자: 해방,제임스 폴리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-02-21,미국,213,217785,드라마,청소년관람불가
언프렌디드: 친구삭제,레오 가브리아제,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-05-07,미국,386,219678,공포(호러),15세이상관람가
헤라클레스 : 레전드 비긴즈,레니 할린,,(유)조이앤컨텐츠그룹,(주)넥스트엔터테인먼트월드(NEW),2014-04-10,미국,390,221327,액션,15세이상관람가
일라이,"알렌 휴즈,알버트 휴즈",알콘엔터테인먼트,㈜케이디미디어,(주)쇼박스,2010-04-15,미국,252,222927,액션,15세이상관람가
알파 앤 오메가,"안소니 벨,벤 글럭",,판씨네마(주),(주)넥스트엔터테인먼트월드(NEW),2011-02-24,미국,230,222953,애니메이션,전체관람가
잡스,조슈아 마이클 스턴,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2013-08-29,미국,402,225146,드라마,12세이상관람가
캐빈 인 더 우즈,드류 고다드,,"(유)조이앤컨텐츠그룹,(주)케이알씨지",롯데쇼핑㈜롯데엔터테인먼트,2012-06-28,미국,288,228090,공포(호러),청소년관람불가
시카리오: 데이 오브 솔다도,스테파노 솔리마,,㈜코리아스크린,㈜코리아스크린,2018-06-27,미국,261,228205,액션,15세이상관람가
쓰리데이즈 투 킬,맥지,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2014-04-03,미국,388,228539,액션,15세이상관람가
컨테이젼,스티븐 소더버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-09-22,미국,226,228899,액션,12세이상관람가
포스 카인드,올라턴드 오선샌미,"유니버셜 픽쳐스,골드써클필름,포커스필름프로덕션㈜,샴바라 픽처스,대드 크루 프로덕션,사가 필름",㈜메가박스,(주)넥스트엔터테인먼트월드(NEW),2010-02-25,미국,189,229014,SF,15세이상관람가
비행기,클레이 홀,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-12-19,미국,408,233563,애니메이션,전체관람가
닌자터틀 : 어둠의 히어로,데이브 그린,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-06-16,미국,517,235207,액션,12세이상관람가
레고 무비,"필 로드,크리스 밀러",,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-02-06,미국,317,236129,애니메이션,전체관람가
하늘을 걷는 남자,로버트 저메키스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-10-28,미국,415,238257,드라마,12세이상관람가
서약,마이클 수치,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-14,미국,314,239483,드라마,15세이상관람가
아이 필 프리티,아비 콘,,(주)퍼스트런,(주)홈초이스,2018-06-06,미국,213,240148,코미디,15세이상관람가
캡틴 필립스,폴 그린그래스,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-10-23,미국,302,241514,액션,15세이상관람가
툼스톤,스콧 프랭크,,"(주)드림웨스트픽쳐스,(주)부메랑모션픽쳐스",(주)인벤트스톤,2014-09-18,미국,378,242707,액션,청소년관람불가
월 스트리트: 머니 네버 슬립스,올리버 스톤,에드워드 알 프레스만 필름 코포레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-10-21,미국,286,245343,드라마,12세이상관람가
노벰버 맨,로저 도널드슨,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2014-10-16,미국,395,252444,액션,15세이상관람가
카우보이 & 에이리언,존 파브로,,씨제이이앤엠(주),씨제이이앤엠(주),2011-08-11,미국,269,256346,액션,15세이상관람가
언브로큰,안젤리나 졸리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-07,미국,401,256475,액션,15세이상관람가
파이널 데스티네이션5,스티븐 쿼일,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-09-08,미국,168,257193,공포(호러),청소년관람불가
장고:분노의 추적자,쿠엔틴 타란티노,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-03-21,미국,342,260144,서부극(웨스턴),청소년관람불가
스파이 브릿지,스티븐 스필버그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-11-05,미국,425,260721,스릴러,12세이상관람가
투모로우랜드,브래드 버드,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-05-27,미국,435,265744,액션,12세이상관람가
백 투 더 비기닝,딘 이스라엘리트,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-02-26,미국,423,266389,SF,15세이상관람가
19곰 테드,세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-09-27,미국,248,266574,코미디,청소년관람불가
파이스토리 : 악당상어 소탕작전,"마크 A.Z. 디페,박태동",,데이지엔터테인먼트,(주)에스비에스콘텐츠허브,2013-01-10,미국,298,267373,애니메이션,전체관람가
친구와 연인사이,이반 라이트만,,씨제이엔터테인먼트,씨제이엔터테인먼트,2011-02-10,미국,183,267843,코미디,청소년관람불가
상하이,미카엘 하프스트롬,,데이지엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2011-01-27,미국,217,269157,드라마,15세이상관람가
헨젤과 그레텔: 마녀 사냥꾼 3D,토미 위르콜라,,씨제이이앤엠(주),씨제이이앤엠(주),2013-02-14,미국,297,269510,액션,청소년관람불가
울프맨,조 존스톤,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2010-02-11,미국,266,270683,공포(호러),청소년관람불가
우리는 동물원을 샀다,카메론 크로우,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-01-18,미국,235,276334,가족,전체관람가
존 윅 - 리로드,채드 스타헬스키,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2017-02-22,미국,250,276379,액션,청소년관람불가
사랑에 대한 모든 것,제임스 마쉬,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-12-10,미국,399,278015,멜로/로맨스,12세이상관람가
오큘러스,마이크 플래너건,,(주)메인타이틀픽쳐스,씨네그루(주)다우기술,2014-05-29,미국,336,279488,미스터리,15세이상관람가
프레데터스,님로드 안탈,투엔티쓰 센츄리-폭스 필름 코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-08-26,미국,230,281642,액션,15세이상관람가
인서전트,로베르트 슈벤트케,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2015-03-25,미국,480,282662,SF,15세이상관람가
런 올 나이트,자움 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-03-19,미국,411,289534,액션,청소년관람불가
앨빈과 슈퍼밴드: 악동 어드벤처,월트 벡커,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-02-04,미국,380,289645,애니메이션,전체관람가
더 그레이,조 카나한,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2012-02-16,미국,298,292217,액션,15세이상관람가
베스트 키드,해럴드 즈워트,콜럼비아 픽쳐스 필름 프로덕션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-06-10,미국,259,292529,가족,12세이상관람가
이스케이프 플랜,미카엘 하프스트롬,,판씨네마(주),판씨네마(주),2013-12-05,미국,287,292655,액션,청소년관람불가
포인트 브레이크,에릭슨 코어,,(주)나이너스엔터테인먼트,"(주)시네마서비스,(주)나이너스엔터테인먼트",2016-01-07,미국,409,294320,범죄,15세이상관람가
로렉스,"크리스 리노드,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-05-03,미국,463,297025,애니메이션,전체관람가
구스범스,롭 레터맨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-01-14,미국,515,297356,액션,12세이상관람가
스포트라이트,토마스 맥카시,,주식회사 더쿱,(주)팝엔터테인먼트,2016-02-24,미국,320,297944,드라마,15세이상관람가
프랑켄슈타인: 불멸의 영웅,스튜어트 베티,,(주)다세포클럽,(주)쇼박스,2014-02-06,미국,378,298983,액션,12세이상관람가
가디언의 전설,잭 스나이더,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-10-28,미국,268,307217,애니메이션,전체관람가
주피터 어센딩,"라나 워쇼스키,앤디 워쇼스키",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-05,미국,561,309729,SF,12세이상관람가
트루스 오어 데어,제프 와드로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-05-22,미국,530,310962,공포(호러),15세이상관람가
비행기 2: 소방구조대,로버츠 개너웨이,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-08-13,미국,341,311456,애니메이션,전체관람가
아기배달부 스토크,"니콜라스 스톨러,더그 스윗랜드",,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-12-07,미국,538,320353,애니메이션,전체관람가
블레이드 러너 2049,드니 빌뇌브,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-10-12,미국,664,321018,SF,15세이상관람가
옥자,봉준호,"플랜 비 엔터테인먼트,(주)루이스 픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2017-06-29,미국,111,321550,어드벤처,12세이상관람가
스폰지밥 3D,폴 티비트,,씨제이이앤엠(주),씨제이이앤엠(주),2015-02-18,미국,357,325016,애니메이션,전체관람가
잭 라이언 : 코드네임 쉐도우,케네스 브래너,,씨제이이앤엠(주),씨제이이앤엠(주),2014-01-16,미국,419,327591,액션,12세이상관람가
링컨 차를 타는 변호사,브래드 퍼맨,,(주)더블앤조이픽쳐스,씨너스엔터테인먼트(주),2011-06-16,미국,241,327612,범죄,15세이상관람가
선 오브 갓,크리스토퍼 스펜서,,(주)수키픽쳐스,(주)프레인글로벌,2014-04-10,미국,419,329029,드라마,12세이상관람가
킬러스,로버트 루게틱,"카탈스트 필름,라이온스 게이트 필름즈",(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2010-09-02,미국,280,329086,액션,15세이상관람가
위자: 저주의 시작,마이크 플래너건,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-11-09,미국,467,331877,공포(호러),12세이상관람가
에베레스트,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-24,미국,331,332180,어드벤처,12세이상관람가
숲속으로,롭 마샬,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2014-12-24,미국,356,341882,뮤지컬,전체관람가
아메리칸 스나이퍼,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-01-14,미국,308,344766,액션,청소년관람불가
링컨: 뱀파이어 헌터,티무르 베크맘베토브,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-08-30,미국,337,344876,액션,청소년관람불가
오즈 그레이트 앤드 파워풀,샘 레이미,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-03-07,미국,425,350563,판타지,전체관람가
플립,롭 라이너,,(주)팝엔터테인먼트,(주)팝엔터테인먼트,2017-07-12,미국,249,354601,드라마,12세이상관람가
어쌔신 크리드,저스틴 커젤,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-01-11,미국,566,355913,액션,15세이상관람가
클로버필드 10번지,댄 트라첸버그,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-04-07,미국,575,356976,미스터리,15세이상관람가
홈,팀 존슨,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-21,미국,532,360556,애니메이션,전체관람가
레드 라이딩 후드,캐서린 하드윅,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-03-17,미국,249,362572,드라마,15세이상관람가
그레이의 50가지 그림자,샘 테일러-존슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,미국,512,364415,드라마,청소년관람불가
컨트롤러,조지 놀피,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-03-03,미국,371,373344,스릴러,12세이상관람가
스토커,박찬욱,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-02-28,미국,329,378729,드라마,청소년관람불가
트론: 새로운 시작,조셉 코신스키,라이브플래닛,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-12-29,미국,379,382607,SF,12세이상관람가
크로니클,조쉬 트랭크,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-03-15,미국,324,383862,액션,15세이상관람가
언더 워터,자움 콜렛 세라,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-13,미국,518,384789,공포(호러),15세이상관람가
천재 강아지 미스터 피바디,롭 민코프,,씨제이이앤엠(주),씨제이이앤엠(주),2014-04-24,미국,533,385552,애니메이션,전체관람가
론 레인저,고어 버빈스키,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-07-04,미국,401,387527,액션,15세이상관람가
피터 래빗,윌 글럭,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-05-16,미국,599,388301,애니메이션,전체관람가
익스펜더블,실베스터 스탤론,밀레니엄 필름즈,(주)동아수출공사,(주)싸이더스,2010-08-19,미국,256,398097,스릴러,청소년관람불가
판타스틱 4,조쉬 트랭크,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-08-20,미국,451,399667,액션,12세이상관람가
닌자터틀,조나단 리브스만,,씨제이이앤엠(주),씨제이이앤엠(주),2014-08-28,미국,479,400329,액션,12세이상관람가
아스트로 보이-아톰의 귀환,데이빗 보워스,이미지애니메이션스튜디오,㈜케이디미디어,㈜케이디미디어,2010-01-13,미국,285,401477,애니메이션,전체관람가
아메리칸 메이드,더그 라이만,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-09-14,미국,691,401541,범죄,15세이상관람가
섹스 앤 더 시티 2,마이클 패트릭 킹,"뉴라인 시네마,HBO필름",워너브러더스 코리아(주),워너브러더스 코리아(주),2010-06-10,미국,238,405580,드라마,청소년관람불가
다이버전트,닐 버거,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2014-04-16,미국,511,424041,SF,15세이상관람가
스머프: 비밀의 숲,캘리 애스버리,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-28,미국,607,427764,애니메이션,전체관람가
랭고,고어 버빈스키,,씨제이이앤엠(주),씨제이이앤엠(주),2011-03-03,미국,314,428896,애니메이션,전체관람가
시즌 오브 더 위치: 마녀 호송단,도미닉 세나,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2011-01-13,미국,218,435201,어드벤처,15세이상관람가
워리어스 웨이,이승무,"컬쳐 언플러그드 스튜디오,(주)에스씨에스엔터테인먼트",에스케이텔레콤(주),에스케이텔레콤(주),2010-12-01,미국,441,437101,액션,15세이상관람가
밀레니엄 : 여자를 증오한 남자들,데이빗 핀처,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-01-11,미국,321,443889,스릴러,청소년관람불가
익스펜더블 2,사이먼 웨스트,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-09-06,미국,393,444045,액션,15세이상관람가
헌츠맨: 윈터스 워,세딕 니콜라스 트로얀,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-04-13,미국,557,445009,액션,12세이상관람가
파라노말 액티비티,오렌 펠리,브름하우스 프로덕션,㈜코리아스크린,(주)넥스트엔터테인먼트월드(NEW),2010-01-13,미국,187,446510,공포(호러),12세이상관람가
빅쇼트,아담 맥케이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-01-21,미국,489,446664,드라마,청소년관람불가
히든 피겨스,데오도르 멜피,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-03-23,미국,448,448923,드라마,12세이상관람가
클라우드 아틀라스,"앤디 워쇼스키,라나 워쇼스키,톰 티크베어",,블루미지,(주)넥스트엔터테인먼트월드(NEW),2013-01-09,미국,382,449071,SF,청소년관람불가
라이프,다니엘 에스피노사,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-05,미국,647,459421,SF,15세이상관람가
언스토퍼블,토니 스콧,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-11-10,미국,309,459535,액션,12세이상관람가
락아웃: 익스트림미션,"제임스 매더스,스테판 St. 레게르",,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-06-14,미국,374,462176,SF,15세이상관람가
생텀,앨리스터 그리어슨,,(유)마스엔터테인먼트코리아,(주)시너지하우스 (시너지),2011-02-10,미국,323,464607,어드벤처,15세이상관람가
카 2,존 라세터,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-07-20,미국,379,465607,애니메이션,전체관람가
슈퍼 에이트,J.J. 에이브럼스,,씨제이이앤엠(주),씨제이이앤엠(주),2011-06-16,미국,411,472118,SF,12세이상관람가
트리플 엑스 리턴즈,D.J. 카루소,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-02-08,미국,590,475309,액션,15세이상관람가
카3: 새로운 도전,브라이언 피,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-07-13,미국,800,487916,애니메이션,전체관람가
레드,로베르트 슈벤트케,서미트 엔터티인먼트,(주)나이너스엔터테인먼트,(주)화앤담이엔티,2010-11-03,미국,322,489855,액션,15세이상관람가
노예 12년,스티브 맥퀸,,판씨네마(주),"판씨네마(주),(주)프레인글로벌",2014-02-27,미국,326,498004,드라마,15세이상관람가
그레이트 월,장예모,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-15,미국,598,501286,판타지,12세이상관람가
셰이프 오브 워터: 사랑의 모양,기예르모 델 토로,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-02-22,미국,404,506261,어드벤처,청소년관람불가
먹고 기도하고 사랑하라,라이언 머피,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-09-30,미국,280,509623,드라마,15세이상관람가
거울나라의 앨리스,제임스 보빈,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-09-07,미국,515,513202,어드벤처,12세이상관람가
퍼스트 어벤져,조 존스톤,,씨제이이앤엠(주),씨제이이앤엠(주),2011-07-28,미국,363,514417,액션,12세이상관람가
피라냐,알렉산더 아야,아톰셰어 엔터테인먼트,(주)누리픽쳐스,에스케이텔레콤(주),2010-08-26,미국,306,515074,액션,청소년관람불가
고스트버스터즈,폴 페이그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-25,미국,511,515522,액션,12세이상관람가
소셜 네트워크,데이빗 핀처,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-11-18,미국,302,517286,드라마,15세이상관람가
얼라이드,로버트 저메키스,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-01-11,미국,546,518886,스릴러,15세이상관람가
퍼시 잭슨과 괴물의 바다,쏘어 프류덴탈,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-09-12,미국,409,519584,판타지,12세이상관람가
언노운,하우메 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-02-17,미국,186,522794,드라마,15세이상관람가
콰이어트 플레이스,존 크랜신스키,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2018-04-12,미국,677,526078,공포(호러),15세이상관람가
러브 & 드럭스,에드워드 즈윅,,,이십세기폭스코리아(주),2011-01-13,미국,284,527077,멜로/로맨스,청소년관람불가
페르디난드,카를로스 살다나,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-01-03,미국,698,533790,애니메이션,전체관람가
애프터 어스,M. 나이트 샤말란,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-05-30,미국,484,537920,SF,12세이상관람가
툼레이더,로아 우타우,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-03-08,미국,806,540410,액션,12세이상관람가
메카닉: 리크루트,데니스 간젤,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2016-08-31,미국,320,551897,액션,15세이상관람가
아이스 에이지: 지구 대충돌,마이크 트메이어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-07-20,미국,580,553760,애니메이션,전체관람가
인시디어스4: 라스트 키,애덤 로비텔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-01-31,미국,769,554535,공포(호러),15세이상관람가
레지던트 이블 5 : 최후의 심판,폴 W.S. 앤더슨,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-09-13,미국,368,558433,액션,청소년관람불가
스텝 업: 올 인,트리시 시에,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2014-09-03,미국,325,560620,드라마,12세이상관람가
화이트 하우스 다운,롤랜드 에머리히,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-06-27,미국,480,569500,액션,15세이상관람가
앨빈과 슈퍼밴드3,마이크 미첼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-12-15,미국,327,569773,애니메이션,전체관람가
루퍼,라이언 존슨,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2012-10-11,미국,386,570010,SF,청소년관람불가
섀도우 헌터스: 뼈의 도시,해럴드 즈워트,,블루미지,롯데쇼핑㈜롯데엔터테인먼트,2013-09-12,미국,374,571074,판타지,15세이상관람가
채피,닐 블롬캠프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-03-12,미국,536,573657,액션,15세이상관람가
백설공주,타셈 싱,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2012-05-03,미국,386,576150,판타지,전체관람가
인시디어스: 두번째 집,제임스 완,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-12-05,미국,405,577758,공포(호러),15세이상관람가
다크 섀도우,팀 버튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-05-10,미국,394,582126,드라마,15세이상관람가
마법사의 제자,존 터틀타웁,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-21,미국,298,582698,드라마,전체관람가
더 울프 오브 월스트리트,마틴 스콜세지,,주식회사 더쿱,주식회사 우리네트웍스,2014-01-09,미국,395,585082,범죄,청소년관람불가
맨 온 렛지,애스게르 레스,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2012-02-22,미국,408,591841,범죄,15세이상관람가
레터스 투 줄리엣,게리 위닉,서미트 엔터티인먼트,(주)유니코리아문예투자,(주)넥스트엔터테인먼트월드(NEW),2010-10-06,미국,284,593630,멜로/로맨스,12세이상관람가
콜롬비아나,올리비에 메가턴,,데이지엔터테인먼트,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-08-31,미국,397,598373,액션,15세이상관람가
다이노소어 어드벤처 3D,"베리 쿡,닐 나이팅게일",,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-12-19,미국,464,599963,액션,전체관람가
헝거게임: 판엠의 불꽃,게리 로스,라이온스 게이트 필름즈,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2012-04-05,미국,514,606531,액션,15세이상관람가
그린 존,폴 그린그래스,유니버셜 픽쳐스,(주)월드시네마,(주)싸이더스,2010-03-25,미국,280,606841,드라마,15세이상관람가
잭 리처: 네버 고 백,에드워드 즈윅,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-11-30,미국,667,612328,액션,15세이상관람가
인 타임,앤드류 니콜,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-10-27,미국,304,616943,SF,12세이상관람가
