영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급
나쁜 이웃들 ,니콜라스 스톨러,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-07-03,미국,129,41301,코미디,청소년관람불가
천국에 다녀온 소년,랜달 월러스,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-06-12,미국,25,41957,드라마,전체관람가
호스트,앤드류 니콜,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2013-04-04,미국,244,42708,SF,15세이상관람가
울브스,데이비드 헤이터,,(주)드림웨스트픽쳐스,(주)프레인글로벌,2014-11-13,미국,291,43613,판타지,15세이상관람가
프랑켄위니,팀 버튼,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-10-11,미국,226,43978,애니메이션,12세이상관람가
저스티스,로저 도널드슨,,(주)쇼박스,(주)쇼박스,2012-03-15,미국,142,44546,액션,청소년관람불가
호두까기인형 3D,안드레이 콘찰로프스키,,(주)토러스엔터테인먼트,(주)나이너스엔터테인먼트,2013-01-03,미국,132,44677,가족,전체관람가
킹메이커,조지 클루니,,데이지엔터테인먼트,(주)시너지하우스 (시너지),2012-04-19,미국,95,44689,드라마,15세이상관람가
리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,제이미 미첼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-04-13,미국,149,45484,애니메이션,전체관람가
히어애프터,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-03-24,미국,112,45755,드라마,12세이상관람가
블레어 위치,아담 윈가드,,㈜코리아스크린,㈜코리아스크린,2016-11-23,미국,172,46285,공포(호러),15세이상관람가
하드코어 헨리,일리야 나이슐러,,㈜코리아스크린,"㈜코리아스크린,와이드 릴리즈(주)",2016-05-19,미국,239,46373,액션,청소년관람불가
마더!,대런 아로노프스키,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-10-19,미국,398,46469,드라마,청소년관람불가
스크림 4G,웨스 크레이븐,,(유)마스엔터테인먼트코리아,(주)시너지하우스 (시너지),2011-06-09,미국,163,46723,미스터리,청소년관람불가
크림슨 피크,길예르모 델 토로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-11-25,미국,255,46735,판타지,청소년관람불가
이스케이프,존 에릭 도들,,위드 라이언 픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2015-11-05,미국,264,46781,액션,15세이상관람가
트리플 9,존 힐코트,,(주)메인타이틀픽쳐스,(주)리틀빅픽쳐스,2016-04-20,미국,329,47197,범죄,청소년관람불가
머니 몬스터,조디 포스터,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-31,미국,151,47226,스릴러,15세이상관람가
온리 더 브레이브,조셉 코신스키,,㈜코리아스크린,㈜코리아스크린,2018-03-07,미국,301,47540,드라마,12세이상관람가
스트레이트 아웃 오브 컴턴,F. 게리 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-10,미국,185,48844,드라마,청소년관람불가
미스 사이공 : 25주년 특별 공연,브렛 설리반,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-11-24,미국,100,48931,공연,15세이상관람가
언더더씨,에반 트라멜,,(주)히스토리필름,(주)팝엔터테인먼트,2017-06-22,미국,163,49958,애니메이션,전체관람가
인시디어스,제임스 완,,㈜코리아스크린,(주)쇼박스,2012-09-13,미국,178,50163,공포(호러),15세이상관람가
포레스트: 죽음의 숲,제이슨 자다,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-03-30,미국,312,50631,공포(호러),12세이상관람가
더 씽,매티스 반 헤이닌겐 주니어,,(주)포커스엔터테인먼트,(주)싸이더스,2012-06-14,미국,174,50839,공포(호러),15세이상관람가
빅 미라클,켄 콰피스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-02-23,미국,170,51151,드라마,전체관람가
스카이포스 3D,토니 탕,,(주)누리픽쳐스,(주)미디어데이,2013-02-28,미국,183,51553,애니메이션,전체관람가
스트레스를 부르는 그 이름 직장상사,세스 고든,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-11-17,미국,117,51646,코미디,청소년관람불가
사랑은 언제나 진행중,바트 프룬디치,필름 디파트먼트,"데이지엔터테인먼트,(주)토마스엔터프라이즈",(주)시너지하우스 (시너지),2010-03-11,미국,181,52193,코미디,15세이상관람가
더 비지트,M. 나이트 샤말란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-10-15,미국,279,52197,스릴러,15세이상관람가
호프 스프링즈,데이빗 프랭클,,데이지엔터테인먼트,(주)시너지하우스 (시너지),2013-04-04,미국,179,52426,멜로/로맨스,청소년관람불가
콘트라밴드,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-03-22,미국,178,52743,액션,청소년관람불가
인 디 에어,제이슨 라이트먼,파라마운트 픽쳐스,씨제이엔터테인먼트,씨제이엔터테인먼트,2010-03-11,미국,53,53423,드라마,15세이상관람가
살인소설,스콧 데릭슨,,(주)영화사폴,씨너스엔터테인먼트(주),2012-11-15,미국,186,54239,미스터리,청소년관람불가
파라노말 액티비티4,"아리엘 슐만,헨리 유스트",파라마운트,씨제이이앤엠(주),씨제이이앤엠(주),2012-10-25,미국,173,54461,스릴러,15세이상관람가
헤이와이어,스티븐 소더버그,,(주)영화사폴,씨너스엔터테인먼트(주),2012-07-05,미국,200,54511,액션,15세이상관람가
파라노말 액티비티: 더 고스트 디멘션,그레고리 플로킨,,(주)다자인소프트,(주)박수엔터테인먼트,2016-04-21,미국,353,54972,미스터리,15세이상관람가
위시 어폰,존 R. 레오네티,,(주)우성엔터테인먼트,(주)이수C&E,2017-07-20,미국,279,55110,공포(호러),15세이상관람가
더 라이트: 악마는 있다,미카엘 하프스트롬,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-04-20,미국,104,55561,미스터리,15세이상관람가
워터 포 엘리펀트,프란시스 로렌스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-05-04,미국,182,55561,드라마,15세이상관람가
파더 앤 도터,가브리엘 무치노,,(주)에이블엔터테인먼트,(주)박수엔터테인먼트,2015-12-10,미국,352,58704,드라마,15세이상관람가
더 퍼지 : 거리의 반란,제임스 드모나코,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-08-27,미국,204,59881,공포(호러),청소년관람불가
행오버 2,토드 필립스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-08-25,미국,157,60048,코미디,청소년관람불가
바운티 헌터,앤디 테넌트,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-04-15,미국,123,60376,멜로/로맨스,15세이상관람가
휴고,마틴 스콜세지,,씨제이이앤엠(주),씨제이이앤엠(주),2012-02-29,미국,85,60520,가족,전체관람가
내 여자친구의 결혼식,폴 페이그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-08-25,미국,166,60788,코미디,청소년관람불가
황당한 외계인: 폴,그렉 모톨라,워킹 타이틀 필름,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-04-07,미국,148,61808,코미디,15세이상관람가
에브리바디 올라잇,리사 촐로덴코,만달레이,코리아 코어 컨텐츠,(주)화천공사,2010-09-02,미국,126,61927,코미디,청소년관람불가
언피니시드,존 매든,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-10-06,미국,159,62383,드라마,15세이상관람가
리틀 프린세스 소피아 : 신비한 섬,제이미 미첼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-09-28,미국,135,62454,애니메이션,전체관람가
히트맨: 에이전트 47,알렉산더 바흐,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-09-03,미국,272,63073,액션,15세이상관람가
로우리스: 나쁜 영웅들,존 힐코트,,"(주)부메랑모션픽쳐스,(주)드림웨스트픽쳐스",씨너스엔터테인먼트(주),2012-10-18,미국,275,63108,액션,청소년관람불가
엘라의 모험 2: 백설공주 길들이기,"보이드 커클랜드,스티븐 E. 고든",바프 베를린 애니메이션 필름,코리아 코어 컨텐츠,㈜케이디미디어,2010-02-25,미국,84,63857,가족,전체관람가
더 크리스마스,티모시 렉카트,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-12-21,미국,158,65460,애니메이션,전체관람가
